Bottleneck Height (m),Flow Rate (people/min)
0.6,0.015143737166324436
0.7,0.016643159379407618
0.7999999999999999,0.0196078431372549
0.8999999999999999,0.0202888583218707
1.0999999999999999,0.02300194931773879
1.1999999999999997,0.025574338968357174
1.2999999999999998,0.02482120319730753
1.4,0.026469268730372364
1.4999999999999998,0.027480204937121566
1.5999999999999996,0.027544351073762838
1.6999999999999997,0.02667269439421338
1.7999999999999998,0.028864970645792562
1.8999999999999997,0.029064039408866996
1.9999999999999996,0.030056036678553236
2.0999999999999996,0.02945581627558662
2.1999999999999997,0.030209933435739886
2.3999999999999995,0.031466666666666664
2.4999999999999996,0.03158458244111349
