# id	 time	 x	 v
0	   0.000	   0.609	   0.000
1	   0.000	   1.526	   0.000
2	   0.000	   2.544	   0.000
3	   0.000	   3.562	   0.000
4	   0.000	   4.579	   0.000
5	   0.000	   5.597	   0.000
6	   0.000	   6.615	   0.000
7	   0.000	   7.632	   0.000
8	   0.000	   8.650	   0.000
9	   0.000	   9.668	   0.000
10	   0.000	  10.685	   0.000
11	   0.000	  11.703	   0.000
12	   0.000	  12.721	   0.000
13	   0.000	  13.738	   0.000
14	   0.000	  14.756	   0.000
15	   0.000	  15.774	   0.000
16	   0.000	  16.791	   0.000
0	   0.125	   0.626	   0.266
1	   0.125	   1.544	   0.266
2	   0.125	   2.561	   0.266
3	   0.125	   3.579	   0.266
4	   0.125	   4.597	   0.266
5	   0.125	   5.614	   0.266
6	   0.125	   6.632	   0.266
7	   0.125	   7.650	   0.266
8	   0.125	   8.667	   0.266
9	   0.125	   9.685	   0.266
10	   0.125	  10.702	   0.266
11	   0.125	  11.720	   0.266
12	   0.125	  12.738	   0.266
13	   0.125	  13.755	   0.266
14	   0.125	  14.773	   0.266
15	   0.125	  15.791	   0.266
16	   0.125	  16.808	   0.266
0	   0.250	   0.672	   0.463
1	   0.250	   1.590	   0.472
2	   0.250	   2.608	   0.472
3	   0.250	   3.625	   0.472
4	   0.250	   4.643	   0.472
5	   0.250	   5.661	   0.472
6	   0.250	   6.678	   0.472
7	   0.250	   7.696	   0.472
8	   0.250	   8.714	   0.472
9	   0.250	   9.731	   0.472
10	   0.250	  10.749	   0.472
11	   0.250	  11.767	   0.472
12	   0.250	  12.784	   0.472
13	   0.250	  13.802	   0.472
14	   0.250	  14.820	   0.472
15	   0.250	  15.837	   0.472
16	   0.250	  16.855	   0.473
0	   0.375	   0.737	   0.560
1	   0.375	   1.658	   0.595
2	   0.375	   2.675	   0.595
3	   0.375	   3.693	   0.595
4	   0.375	   4.711	   0.595
5	   0.375	   5.728	   0.595
6	   0.375	   6.746	   0.595
7	   0.375	   7.764	   0.595
8	   0.375	   8.781	   0.595
9	   0.375	   9.799	   0.595
10	   0.375	  10.817	   0.595
11	   0.375	  11.834	   0.595
12	   0.375	  12.852	   0.595
13	   0.375	  13.870	   0.595
14	   0.375	  14.887	   0.596
15	   0.375	  15.905	   0.593
16	   0.375	  16.924	   0.625
0	   0.500	   0.810	   0.610
1	   0.500	   1.737	   0.657
2	   0.500	   2.754	   0.657
3	   0.500	   3.772	   0.657
4	   0.500	   4.789	   0.657
5	   0.500	   5.807	   0.657
6	   0.500	   6.825	   0.657
7	   0.500	   7.842	   0.657
8	   0.500	   8.860	   0.657
9	   0.500	   9.878	   0.657
10	   0.500	  10.895	   0.657
11	   0.500	  11.913	   0.657
12	   0.500	  12.931	   0.657
13	   0.500	  13.948	   0.657
14	   0.500	  14.966	   0.658
15	   0.500	  15.983	   0.651
16	   0.500	  17.008	   0.707
0	   0.625	   0.889	   0.640
1	   0.625	   1.821	   0.692
2	   0.625	   2.839	   0.692
3	   0.625	   3.856	   0.692
4	   0.625	   4.874	   0.692
5	   0.625	   5.892	   0.692
6	   0.625	   6.909	   0.692
7	   0.625	   7.927	   0.692
8	   0.625	   8.945	   0.692
9	   0.625	   9.962	   0.692
10	   0.625	  10.980	   0.692
11	   0.625	  11.997	   0.692
12	   0.625	  13.015	   0.692
13	   0.625	  14.033	   0.692
14	   0.625	  15.051	   0.693
15	   0.625	  16.066	   0.683
16	   0.625	  17.099	   0.751
0	   0.750	   0.970	   0.658
1	   0.750	   1.909	   0.712
2	   0.750	   2.926	   0.712
3	   0.750	   3.944	   0.712
4	   0.750	   4.962	   0.712
5	   0.750	   5.979	   0.712
6	   0.750	   6.997	   0.712
7	   0.750	   8.015	   0.712
8	   0.750	   9.032	   0.712
9	   0.750	  10.050	   0.712
10	   0.750	  11.068	   0.712
11	   0.750	  12.085	   0.712
12	   0.750	  13.103	   0.712
13	   0.750	  14.121	   0.712
14	   0.750	  15.139	   0.713
15	   0.750	  16.153	   0.703
16	   0.750	  17.195	   0.772
0	   0.875	   1.053	   0.671
1	   0.875	   1.999	   0.723
2	   0.875	   3.016	   0.723
3	   0.875	   4.034	   0.723
4	   0.875	   5.052	   0.723
5	   0.875	   6.069	   0.723
6	   0.875	   7.087	   0.723
7	   0.875	   8.104	   0.723
8	   0.875	   9.122	   0.723
9	   0.875	  10.140	   0.723
10	   0.875	  11.157	   0.723
11	   0.875	  12.175	   0.723
12	   0.875	  13.193	   0.723
13	   0.875	  14.210	   0.723
14	   0.875	  15.228	   0.724
15	   0.875	  16.242	   0.717
16	   0.875	  17.292	   0.782
0	   1.000	   1.137	   0.680
1	   1.000	   2.089	   0.730
2	   1.000	   3.107	   0.730
3	   1.000	   4.125	   0.730
4	   1.000	   5.142	   0.730
5	   1.000	   6.160	   0.730
6	   1.000	   7.178	   0.730
7	   1.000	   8.195	   0.730
8	   1.000	   9.213	   0.730
9	   1.000	  10.231	   0.730
10	   1.000	  11.248	   0.730
11	   1.000	  12.266	   0.730
12	   1.000	  13.284	   0.730
13	   1.000	  14.301	   0.730
14	   1.000	  15.319	   0.730
15	   1.000	  16.332	   0.728
16	   1.000	  17.390	   0.784
0	   1.125	   1.223	   0.686
1	   1.125	   2.181	   0.734
2	   1.125	   3.199	   0.734
3	   1.125	   4.216	   0.734
4	   1.125	   5.234	   0.734
5	   1.125	   6.252	   0.734
6	   1.125	   7.269	   0.734
7	   1.125	   8.287	   0.734
8	   1.125	   9.305	   0.734
9	   1.125	  10.322	   0.734
10	   1.125	  11.340	   0.734
11	   1.125	  12.358	   0.734
12	   1.125	  13.375	   0.734
13	   1.125	  14.393	   0.735
14	   1.125	  15.411	   0.734
15	   1.125	  16.424	   0.736
16	   1.125	  17.488	   0.781
0	   1.250	   1.309	   0.692
1	   1.250	   2.273	   0.737
2	   1.250	   3.291	   0.737
3	   1.250	   4.308	   0.737
4	   1.250	   5.326	   0.737
5	   1.250	   6.344	   0.737
6	   1.250	   7.361	   0.737
7	   1.250	   8.379	   0.737
8	   1.250	   9.397	   0.737
9	   1.250	  10.414	   0.737
10	   1.250	  11.432	   0.737
11	   1.250	  12.449	   0.737
12	   1.250	  13.467	   0.737
13	   1.250	  14.485	   0.737
14	   1.250	  15.503	   0.735
15	   1.250	  16.516	   0.744
16	   1.250	  17.585	   0.776
0	   1.375	   1.396	   0.697
1	   1.375	   2.365	   0.738
2	   1.375	   3.383	   0.738
3	   1.375	   4.401	   0.738
4	   1.375	   5.418	   0.738
5	   1.375	   6.436	   0.738
6	   1.375	   7.453	   0.738
7	   1.375	   8.471	   0.738
8	   1.375	   9.489	   0.738
9	   1.375	  10.506	   0.738
10	   1.375	  11.524	   0.738
11	   1.375	  12.542	   0.738
12	   1.375	  13.559	   0.738
13	   1.375	  14.577	   0.739
14	   1.375	  15.595	   0.735
15	   1.375	  16.610	   0.750
16	   1.375	  17.682	   0.770
0	   1.500	   1.483	   0.701
1	   1.500	   2.458	   0.739
2	   1.500	   3.475	   0.739
3	   1.500	   4.493	   0.739
4	   1.500	   5.511	   0.739
5	   1.500	   6.528	   0.739
6	   1.500	   7.546	   0.739
7	   1.500	   8.563	   0.739
8	   1.500	   9.581	   0.739
9	   1.500	  10.599	   0.739
10	   1.500	  11.616	   0.739
11	   1.500	  12.634	   0.739
12	   1.500	  13.652	   0.739
13	   1.500	  14.669	   0.740
14	   1.500	  15.687	   0.735
15	   1.500	  16.704	   0.756
16	   1.500	  17.778	   0.764
0	   1.625	   1.571	   0.705
1	   1.625	   2.550	   0.740
2	   1.625	   3.568	   0.740
3	   1.625	   4.585	   0.740
4	   1.625	   5.603	   0.740
5	   1.625	   6.621	   0.740
6	   1.625	   7.638	   0.740
7	   1.625	   8.656	   0.740
8	   1.625	   9.674	   0.740
9	   1.625	  10.691	   0.740
10	   1.625	  11.709	   0.740
11	   1.625	  12.726	   0.740
12	   1.625	  13.744	   0.740
13	   1.625	  14.762	   0.741
14	   1.625	  15.778	   0.735
15	   1.625	  16.799	   0.761
16	   1.625	  17.873	   0.757
0	   1.750	   1.659	   0.709
1	   1.750	   2.643	   0.740
2	   1.750	   3.660	   0.740
3	   1.750	   4.678	   0.740
4	   1.750	   5.695	   0.740
5	   1.750	   6.713	   0.740
6	   1.750	   7.731	   0.740
7	   1.750	   8.748	   0.740
8	   1.750	   9.766	   0.740
9	   1.750	  10.784	   0.740
10	   1.750	  11.801	   0.740
11	   1.750	  12.819	   0.740
12	   1.750	  13.837	   0.740
13	   1.750	  14.855	   0.741
14	   1.750	  15.870	   0.735
15	   1.750	  16.894	   0.765
16	   1.750	  17.967	   0.751
0	   1.875	   1.748	   0.712
1	   1.875	   2.735	   0.740
2	   1.875	   3.753	   0.740
3	   1.875	   4.770	   0.740
4	   1.875	   5.788	   0.740
5	   1.875	   6.806	   0.740
6	   1.875	   7.823	   0.740
7	   1.875	   8.841	   0.740
8	   1.875	   9.859	   0.740
9	   1.875	  10.876	   0.740
10	   1.875	  11.894	   0.740
11	   1.875	  12.912	   0.740
12	   1.875	  13.929	   0.740
13	   1.875	  14.947	   0.741
14	   1.875	  15.962	   0.736
15	   1.875	  16.990	   0.768
16	   1.875	  18.060	   0.745
0	   2.000	   1.837	   0.715
1	   2.000	   2.828	   0.740
2	   2.000	   3.845	   0.740
3	   2.000	   4.863	   0.740
4	   2.000	   5.881	   0.740
5	   2.000	   6.898	   0.740
6	   2.000	   7.916	   0.740
7	   2.000	   8.933	   0.740
8	   2.000	   9.951	   0.740
9	   2.000	  10.969	   0.740
10	   2.000	  11.986	   0.740
11	   2.000	  13.004	   0.740
12	   2.000	  14.022	   0.740
13	   2.000	  15.040	   0.741
14	   2.000	  16.054	   0.737
15	   2.000	  17.086	   0.770
16	   2.000	  18.153	   0.740
0	   2.125	   1.927	   0.718
1	   2.125	   2.920	   0.740
2	   2.125	   3.938	   0.740
3	   2.125	   4.955	   0.740
4	   2.125	   5.973	   0.740
5	   2.125	   6.991	   0.740
6	   2.125	   8.008	   0.740
7	   2.125	   9.026	   0.740
8	   2.125	  10.044	   0.740
9	   2.125	  11.061	   0.740
10	   2.125	  12.079	   0.740
11	   2.125	  13.097	   0.740
12	   2.125	  14.114	   0.741
13	   2.125	  15.132	   0.740
14	   2.125	  16.147	   0.738
15	   2.125	  17.182	   0.771
16	   2.125	  18.245	   0.735
0	   2.250	   2.017	   0.720
1	   2.250	   3.013	   0.741
2	   2.250	   4.030	   0.741
3	   2.250	   5.048	   0.741
4	   2.250	   6.066	   0.741
5	   2.250	   7.083	   0.741
6	   2.250	   8.101	   0.741
7	   2.250	   9.119	   0.741
8	   2.250	  10.136	   0.741
9	   2.250	  11.154	   0.741
10	   2.250	  12.172	   0.741
11	   2.250	  13.189	   0.740
12	   2.250	  14.207	   0.741
13	   2.250	  15.225	   0.740
14	   2.250	  16.239	   0.740
15	   2.250	  17.279	   0.771
16	   2.250	  18.337	   0.732
0	   2.375	   2.107	   0.722
1	   2.375	   3.105	   0.741
2	   2.375	   4.123	   0.741
3	   2.375	   5.141	   0.741
4	   2.375	   6.158	   0.741
5	   2.375	   7.176	   0.741
6	   2.375	   8.193	   0.741
7	   2.375	   9.211	   0.741
8	   2.375	  10.229	   0.741
9	   2.375	  11.246	   0.741
10	   2.375	  12.264	   0.741
11	   2.375	  13.282	   0.740
12	   2.375	  14.299	   0.741
13	   2.375	  15.317	   0.739
14	   2.375	  16.332	   0.742
15	   2.375	  17.375	   0.771
16	   2.375	  18.428	   0.728
0	   2.500	   2.197	   0.724
1	   2.500	   3.198	   0.741
2	   2.500	   4.215	   0.741
3	   2.500	   5.233	   0.741
4	   2.500	   6.251	   0.741
5	   2.500	   7.268	   0.741
6	   2.500	   8.286	   0.741
7	   2.500	   9.304	   0.741
8	   2.500	  10.321	   0.741
9	   2.500	  11.339	   0.741
10	   2.500	  12.357	   0.741
11	   2.500	  13.374	   0.740
12	   2.500	  14.392	   0.741
13	   2.500	  15.410	   0.739
14	   2.500	  16.424	   0.744
15	   2.500	  17.471	   0.769
16	   2.500	  18.519	   0.726
0	   2.625	   2.288	   0.726
1	   2.625	   3.290	   0.741
2	   2.625	   4.308	   0.741
3	   2.625	   5.326	   0.741
