# id	 time	 x	 v
0	   0.000	   1.181	   0.000
1	   0.000	   3.244	   0.000
2	   0.000	   5.406	   0.000
3	   0.000	   7.569	   0.000
4	   0.000	   9.731	   0.000
5	   0.000	  11.894	   0.000
6	   0.000	  14.056	   0.000
7	   0.000	  16.219	   0.000
0	   0.125	   1.189	   0.130
1	   0.125	   3.252	   0.130
2	   0.125	   5.414	   0.130
3	   0.125	   7.577	   0.130
4	   0.125	   9.739	   0.130
5	   0.125	  11.902	   0.130
6	   0.125	  14.064	   0.130
7	   0.125	  16.227	   0.130
0	   0.250	   1.213	   0.243
1	   0.250	   3.275	   0.243
2	   0.250	   5.438	   0.243
3	   0.250	   7.600	   0.243
4	   0.250	   9.763	   0.243
5	   0.250	  11.925	   0.243
6	   0.250	  14.088	   0.243
7	   0.250	  16.250	   0.243
0	   0.375	   1.249	   0.341
1	   0.375	   3.312	   0.341
2	   0.375	   5.474	   0.341
3	   0.375	   7.637	   0.341
4	   0.375	   9.799	   0.341
5	   0.375	  11.962	   0.341
6	   0.375	  14.124	   0.341
7	   0.375	  16.287	   0.341
0	   0.500	   1.297	   0.426
1	   0.500	   3.360	   0.426
2	   0.500	   5.522	   0.426
3	   0.500	   7.685	   0.426
4	   0.500	   9.847	   0.426
5	   0.500	  12.010	   0.426
6	   0.500	  14.172	   0.426
7	   0.500	  16.335	   0.426
0	   0.625	   1.355	   0.501
1	   0.625	   3.418	   0.501
2	   0.625	   5.580	   0.501
3	   0.625	   7.743	   0.501
4	   0.625	   9.905	   0.501
5	   0.625	  12.068	   0.501
6	   0.625	  14.230	   0.501
7	   0.625	  16.393	   0.501
0	   0.750	   1.422	   0.566
1	   0.750	   3.485	   0.566
2	   0.750	   5.647	   0.566
3	   0.750	   7.810	   0.566
4	   0.750	   9.972	   0.566
5	   0.750	  12.135	   0.566
6	   0.750	  14.297	   0.566
7	   0.750	  16.460	   0.566
0	   0.875	   1.496	   0.622
1	   0.875	   3.559	   0.622
2	   0.875	   5.721	   0.622
3	   0.875	   7.884	   0.622
4	   0.875	  10.046	   0.622
5	   0.875	  12.209	   0.622
6	   0.875	  14.371	   0.622
7	   0.875	  16.534	   0.622
0	   1.000	   1.577	   0.670
1	   1.000	   3.640	   0.671
2	   1.000	   5.802	   0.671
3	   1.000	   7.965	   0.671
4	   1.000	  10.127	   0.671
5	   1.000	  12.290	   0.671
6	   1.000	  14.452	   0.671
7	   1.000	  16.615	   0.671
0	   1.125	   1.663	   0.703
1	   1.125	   3.726	   0.712
2	   1.125	   5.889	   0.712
3	   1.125	   8.051	   0.712
4	   1.125	  10.214	   0.712
5	   1.125	  12.376	   0.712
6	   1.125	  14.539	   0.712
7	   1.125	  16.701	   0.714
0	   1.250	   1.753	   0.726
1	   1.250	   3.817	   0.741
2	   1.250	   5.980	   0.741
3	   1.250	   8.142	   0.741
4	   1.250	  10.305	   0.741
5	   1.250	  12.467	   0.741
6	   1.250	  14.630	   0.740
7	   1.250	  16.793	   0.750
0	   1.375	   1.844	   0.741
1	   1.375	   3.911	   0.761
2	   1.375	   6.074	   0.761
3	   1.375	   8.236	   0.761
4	   1.375	  10.399	   0.761
5	   1.375	  12.561	   0.761
6	   1.375	  14.723	   0.759
7	   1.375	  16.888	   0.777
0	   1.500	   1.938	   0.752
1	   1.500	   4.007	   0.774
2	   1.500	   6.170	   0.774
3	   1.500	   8.332	   0.774
4	   1.500	  10.495	   0.774
5	   1.500	  12.657	   0.775
6	   1.500	  14.819	   0.772
7	   1.500	  16.987	   0.797
0	   1.625	   2.032	   0.759
1	   1.625	   4.105	   0.784
2	   1.625	   6.267	   0.784
3	   1.625	   8.430	   0.784
4	   1.625	  10.592	   0.784
5	   1.625	  12.755	   0.785
6	   1.625	  14.916	   0.780
7	   1.625	  17.087	   0.811
0	   1.750	   2.128	   0.765
1	   1.750	   4.203	   0.791
2	   1.750	   6.366	   0.791
3	   1.750	   8.528	   0.791
4	   1.750	  10.691	   0.791
5	   1.750	  12.853	   0.792
6	   1.750	  15.014	   0.787
7	   1.750	  17.189	   0.820
0	   1.875	   2.223	   0.769
1	   1.875	   4.302	   0.796
2	   1.875	   6.465	   0.796
3	   1.875	   8.627	   0.796
4	   1.875	  10.790	   0.796
5	   1.875	  12.953	   0.797
6	   1.875	  15.113	   0.791
7	   1.875	  17.292	   0.827
0	   2.000	   2.320	   0.773
1	   2.000	   4.402	   0.800
2	   2.000	   6.565	   0.800
3	   2.000	   8.727	   0.800
4	   2.000	  10.889	   0.800
5	   2.000	  13.052	   0.801
6	   2.000	  15.212	   0.795
7	   2.000	  17.396	   0.831
0	   2.125	   2.417	   0.775
1	   2.125	   4.502	   0.802
2	   2.125	   6.665	   0.802
3	   2.125	   8.827	   0.802
4	   2.125	  10.990	   0.802
5	   2.125	  13.153	   0.803
6	   2.125	  15.311	   0.797
7	   2.125	  17.500	   0.834
0	   2.250	   2.514	   0.777
1	   2.250	   4.603	   0.804
2	   2.250	   6.765	   0.804
3	   2.250	   8.928	   0.804
4	   2.250	  11.090	   0.804
5	   2.250	  13.253	   0.805
6	   2.250	  15.411	   0.800
7	   2.250	  17.604	   0.835
0	   2.375	   2.611	   0.779
1	   2.375	   4.703	   0.806
2	   2.375	   6.866	   0.806
3	   2.375	   9.028	   0.806
4	   2.375	  11.191	   0.806
5	   2.375	  13.354	   0.806
6	   2.375	  15.511	   0.802
7	   2.375	  17.709	   0.836
0	   2.500	   2.708	   0.781
1	   2.500	   4.804	   0.807
2	   2.500	   6.967	   0.807
3	   2.500	   9.129	   0.807
4	   2.500	  11.291	   0.807
5	   2.500	  13.455	   0.807
6	   2.500	  15.612	   0.804
7	   2.500	  17.813	   0.835
0	   2.625	   2.806	   0.782
1	   2.625	   4.905	   0.807
2	   2.625	   7.067	   0.807
3	   2.625	   9.230	   0.807
4	   2.625	  11.392	   0.807
5	   2.625	  13.556	   0.807
6	   2.625	  15.712	   0.806
7	   2.625	  17.918	   0.834
0	   2.750	   2.904	   0.783
1	   2.750	   5.006	   0.808
2	   2.750	   7.168	   0.808
3	   2.750	   9.331	   0.808
4	   2.750	  11.493	   0.808
5	   2.750	  13.657	   0.808
6	   2.750	  15.813	   0.808
7	   2.750	  18.022	   0.833
0	   2.875	   3.002	   0.784
1	   2.875	   5.107	   0.808
2	   2.875	   7.269	   0.808
3	   2.875	   9.432	   0.808
4	   2.875	  11.594	   0.808
5	   2.875	  13.758	   0.808
6	   2.875	  15.914	   0.810
7	   2.875	  18.126	   0.831
0	   3.000	   3.100	   0.786
1	   3.000	   5.208	   0.808
2	   3.000	   7.370	   0.809
3	   3.000	   9.533	   0.808
4	   3.000	  11.695	   0.809
5	   3.000	  13.858	   0.807
6	   3.000	  16.016	   0.811
7	   3.000	  18.230	   0.829
0	   3.125	   3.198	   0.787
1	   3.125	   5.309	   0.809
2	   3.125	   7.471	   0.809
3	   3.125	   9.634	   0.809
4	   3.125	  11.796	   0.809
5	   3.125	  13.959	   0.807
6	   3.125	  16.117	   0.813
7	   3.125	  18.333	   0.827
0	   3.250	   3.297	   0.788
1	   3.250	   5.410	   0.809
2	   3.250	   7.573	   0.809
3	   3.250	   9.735	   0.809
4	   3.250	  11.898	   0.809
5	   3.250	  14.060	   0.807
6	   3.250	  16.219	   0.815
7	   3.250	  18.436	   0.825
0	   3.375	   3.395	   0.789
1	   3.375	   5.511	   0.809
2	   3.375	   7.674	   0.809
3	   3.375	   9.836	   0.809
4	   3.375	  11.999	   0.809
5	   3.375	  14.161	   0.807
6	   3.375	  16.321	   0.816
7	   3.375	  18.540	   0.824
0	   3.500	   3.494	   0.790
1	   3.500	   5.612	   0.809
2	   3.500	   7.775	   0.809
3	   3.500	   9.937	   0.809
4	   3.500	  12.100	   0.810
5	   3.500	  14.262	   0.806
6	   3.500	  16.423	   0.818
7	   3.500	  18.642	   0.822
0	   3.625	   3.592	   0.791
1	   3.625	   5.713	   0.809
2	   3.625	   7.876	   0.809
3	   3.625	  10.038	   0.809
4	   3.625	  12.201	   0.810
5	   3.625	  14.363	   0.806
6	   3.625	  16.525	   0.819
7	   3.625	  18.745	   0.820
0	   3.750	   3.691	   0.792
1	   3.750	   5.815	   0.809
2	   3.750	   7.977	   0.809
3	   3.750	  10.139	   0.809
4	   3.750	  12.302	   0.810
5	   3.750	  14.463	   0.806
6	   3.750	  16.628	   0.821
7	   3.750	  18.847	   0.818
0	   3.875	   3.790	   0.793
1	   3.875	   5.916	   0.809
2	   3.875	   8.078	   0.809
3	   3.875	  10.241	   0.809
4	   3.875	  12.404	   0.810
5	   3.875	  14.564	   0.806
6	   3.875	  16.730	   0.822
7	   3.875	  18.949	   0.816
0	   4.000	   3.890	   0.793
1	   4.000	   6.017	   0.809
2	   4.000	   8.179	   0.809
3	   4.000	  10.342	   0.809
4	   4.000	  12.505	   0.810
5	   4.000	  14.665	   0.806
6	   4.000	  16.833	   0.823
7	   4.000	  19.051	   0.814
0	   4.125	   3.989	   0.794
1	   4.125	   6.118	   0.809
2	   4.125	   8.280	   0.809
3	   4.125	  10.443	   0.809
4	   4.125	  12.606	   0.810
5	   4.125	  14.766	   0.806
6	   4.125	  16.936	   0.823
7	   4.125	  19.153	   0.813
0	   4.250	   4.088	   0.795
1	   4.250	   6.219	   0.809
2	   4.250	   8.382	   0.809
3	   4.250	  10.544	   0.809
4	   4.250	  12.707	   0.810
5	   4.250	  14.866	   0.806
6	   4.250	  17.039	   0.824
7	   4.250	  19.254	   0.811
0	   4.375	   4.187	   0.796
