# id	 time	 x	 v
0	   0.000	   0.609	   0.000
1	   0.000	   1.526	   0.000
2	   0.000	   2.544	   0.000
3	   0.000	   3.562	   0.000
4	   0.000	   4.579	   0.000
5	   0.000	   5.597	   0.000
6	   0.000	   6.615	   0.000
7	   0.000	   7.632	   0.000
8	   0.000	   8.650	   0.000
9	   0.000	   9.668	   0.000
10	   0.000	  10.685	   0.000
11	   0.000	  11.703	   0.000
12	   0.000	  12.721	   0.000
13	   0.000	  13.738	   0.000
14	   0.000	  14.756	   0.000
15	   0.000	  15.774	   0.000
16	   0.000	  16.791	   0.000
0	   0.125	   0.619	   0.164
1	   0.125	   1.537	   0.164
2	   0.125	   2.555	   0.164
3	   0.125	   3.572	   0.164
4	   0.125	   4.590	   0.164
5	   0.125	   5.608	   0.164
6	   0.125	   6.625	   0.164
7	   0.125	   7.643	   0.164
8	   0.125	   8.660	   0.164
9	   0.125	   9.678	   0.164
10	   0.125	  10.696	   0.164
11	   0.125	  11.713	   0.164
12	   0.125	  12.731	   0.164
13	   0.125	  13.749	   0.164
14	   0.125	  14.766	   0.164
15	   0.125	  15.784	   0.164
16	   0.125	  16.802	   0.164
0	   0.250	   0.648	   0.283
1	   0.250	   1.566	   0.295
2	   0.250	   2.584	   0.295
3	   0.250	   3.601	   0.295
4	   0.250	   4.619	   0.295
5	   0.250	   5.637	   0.295
6	   0.250	   6.654	   0.295
7	   0.250	   7.672	   0.295
8	   0.250	   8.690	   0.295
9	   0.250	   9.707	   0.295
10	   0.250	  10.725	   0.295
11	   0.250	  11.742	   0.295
12	   0.250	  12.760	   0.295
13	   0.250	  13.778	   0.295
14	   0.250	  14.795	   0.295
15	   0.250	  15.813	   0.295
16	   0.250	  16.831	   0.300
0	   0.375	   0.688	   0.345
1	   0.375	   1.608	   0.368
2	   0.375	   2.626	   0.368
3	   0.375	   3.643	   0.368
4	   0.375	   4.661	   0.368
5	   0.375	   5.678	   0.368
6	   0.375	   6.696	   0.368
7	   0.375	   7.714	   0.368
8	   0.375	   8.731	   0.368
9	   0.375	   9.749	   0.368
10	   0.375	  10.767	   0.368
11	   0.375	  11.784	   0.368
12	   0.375	  12.802	   0.368
13	   0.375	  13.820	   0.368
14	   0.375	  14.837	   0.368
15	   0.375	  15.855	   0.365
16	   0.375	  16.875	   0.391
0	   0.500	   0.733	   0.381
1	   0.500	   1.657	   0.411
2	   0.500	   2.674	   0.411
3	   0.500	   3.692	   0.411
4	   0.500	   4.710	   0.411
5	   0.500	   5.727	   0.411
6	   0.500	   6.745	   0.411
7	   0.500	   7.763	   0.411
8	   0.500	   8.780	   0.411
9	   0.500	   9.798	   0.411
10	   0.500	  10.816	   0.411
11	   0.500	  11.833	   0.411
12	   0.500	  12.851	   0.411
13	   0.500	  13.868	   0.411
14	   0.500	  14.886	   0.411
15	   0.500	  15.903	   0.406
16	   0.500	  16.927	   0.444
0	   0.625	   0.782	   0.405
1	   0.625	   1.710	   0.438
2	   0.625	   2.728	   0.438
3	   0.625	   3.745	   0.438
4	   0.625	   4.763	   0.438
5	   0.625	   5.780	   0.438
6	   0.625	   6.798	   0.438
7	   0.625	   7.816	   0.438
8	   0.625	   8.833	   0.438
9	   0.625	   9.851	   0.438
10	   0.625	  10.869	   0.438
11	   0.625	  11.886	   0.438
12	   0.625	  12.904	   0.438
13	   0.625	  13.922	   0.438
14	   0.625	  14.939	   0.439
15	   0.625	  15.956	   0.432
16	   0.625	  16.985	   0.476
0	   0.750	   0.834	   0.422
1	   0.750	   1.766	   0.456
2	   0.750	   2.783	   0.456
3	   0.750	   3.801	   0.456
4	   0.750	   4.819	   0.456
5	   0.750	   5.836	   0.456
6	   0.750	   6.854	   0.456
7	   0.750	   7.872	   0.456
8	   0.750	   8.889	   0.456
9	   0.750	   9.907	   0.456
10	   0.750	  10.925	   0.456
11	   0.750	  11.942	   0.456
12	   0.750	  12.960	   0.456
13	   0.750	  13.978	   0.456
14	   0.750	  14.996	   0.457
15	   0.750	  16.011	   0.449
16	   0.750	  17.045	   0.496
0	   0.875	   0.888	   0.433
1	   0.875	   1.824	   0.468
2	   0.875	   2.841	   0.468
3	   0.875	   3.859	   0.468
4	   0.875	   4.877	   0.468
5	   0.875	   5.894	   0.468
6	   0.875	   6.912	   0.468
7	   0.875	   7.930	   0.468
8	   0.875	   8.947	   0.468
9	   0.875	   9.965	   0.468
10	   0.875	  10.982	   0.468
11	   0.875	  12.000	   0.468
12	   0.875	  13.018	   0.468
13	   0.875	  14.035	   0.468
14	   0.875	  15.053	   0.469
15	   0.875	  16.068	   0.462
16	   0.875	  17.108	   0.509
0	   1.000	   0.942	   0.442
1	   1.000	   1.883	   0.477
2	   1.000	   2.900	   0.477
3	   1.000	   3.918	   0.477
4	   1.000	   4.936	   0.477
5	   1.000	   5.953	   0.477
6	   1.000	   6.971	   0.477
7	   1.000	   7.989	   0.477
8	   1.000	   9.006	   0.477
9	   1.000	  10.024	   0.477
10	   1.000	  11.042	   0.477
11	   1.000	  12.059	   0.477
12	   1.000	  13.077	   0.477
13	   1.000	  14.094	   0.476
14	   1.000	  15.113	   0.478
15	   1.000	  16.126	   0.471
16	   1.000	  17.172	   0.516
0	   1.125	   0.998	   0.448
1	   1.125	   1.943	   0.482
2	   1.125	   2.960	   0.482
3	   1.125	   3.978	   0.482
4	   1.125	   4.996	   0.482
5	   1.125	   6.013	   0.482
6	   1.125	   7.031	   0.482
7	   1.125	   8.049	   0.482
8	   1.125	   9.066	   0.482
9	   1.125	  10.084	   0.482
10	   1.125	  11.101	   0.482
11	   1.125	  12.119	   0.482
12	   1.125	  13.137	   0.482
13	   1.125	  14.154	   0.482
14	   1.125	  15.173	   0.483
15	   1.125	  16.185	   0.478
16	   1.125	  17.237	   0.520
0	   1.250	   1.054	   0.453
1	   1.250	   2.003	   0.486
2	   1.250	   3.021	   0.486
3	   1.250	   4.038	   0.486
4	   1.250	   5.056	   0.486
5	   1.250	   6.074	   0.486
6	   1.250	   7.091	   0.486
7	   1.250	   8.109	   0.486
8	   1.250	   9.127	   0.486
9	   1.250	  10.144	   0.486
10	   1.250	  11.162	   0.486
11	   1.250	  12.180	   0.486
12	   1.250	  13.197	   0.486
13	   1.250	  14.215	   0.486
14	   1.250	  15.233	   0.486
15	   1.250	  16.245	   0.483
16	   1.250	  17.302	   0.522
0	   1.375	   1.111	   0.457
1	   1.375	   2.064	   0.489
2	   1.375	   3.082	   0.489
3	   1.375	   4.099	   0.489
4	   1.375	   5.117	   0.489
5	   1.375	   6.135	   0.489
6	   1.375	   7.152	   0.489
7	   1.375	   8.170	   0.489
8	   1.375	   9.188	   0.489
9	   1.375	  10.205	   0.489
10	   1.375	  11.223	   0.489
11	   1.375	  12.241	   0.489
12	   1.375	  13.258	   0.489
13	   1.375	  14.276	   0.489
14	   1.375	  15.294	   0.489
15	   1.375	  16.306	   0.488
16	   1.375	  17.368	   0.522
0	   1.500	   1.168	   0.460
1	   1.500	   2.125	   0.491
2	   1.500	   3.143	   0.491
3	   1.500	   4.161	   0.491
4	   1.500	   5.178	   0.491
5	   1.500	   6.196	   0.491
6	   1.500	   7.214	   0.491
7	   1.500	   8.231	   0.491
8	   1.500	   9.249	   0.491
9	   1.500	  10.267	   0.491
10	   1.500	  11.284	   0.491
11	   1.500	  12.302	   0.491
12	   1.500	  13.320	   0.491
13	   1.500	  14.337	   0.491
14	   1.500	  15.355	   0.490
15	   1.500	  16.367	   0.492
16	   1.500	  17.433	   0.521
0	   1.625	   1.226	   0.463
1	   1.625	   2.187	   0.492
2	   1.625	   3.204	   0.492
3	   1.625	   4.222	   0.492
4	   1.625	   5.240	   0.492
5	   1.625	   6.257	   0.492
6	   1.625	   7.275	   0.492
7	   1.625	   8.293	   0.492
8	   1.625	   9.310	   0.492
9	   1.625	  10.328	   0.492
10	   1.625	  11.346	   0.492
11	   1.625	  12.363	   0.492
12	   1.625	  13.381	   0.492
13	   1.625	  14.399	   0.492
14	   1.625	  15.417	   0.491
15	   1.625	  16.429	   0.496
16	   1.625	  17.498	   0.519
0	   1.750	   1.284	   0.465
1	   1.750	   2.248	   0.493
2	   1.750	   3.266	   0.493
3	   1.750	   4.284	   0.493
4	   1.750	   5.301	   0.493
5	   1.750	   6.319	   0.493
6	   1.750	   7.337	   0.493
7	   1.750	   8.354	   0.493
8	   1.750	   9.372	   0.493
9	   1.750	  10.390	   0.493
10	   1.750	  11.407	   0.493
11	   1.750	  12.425	   0.493
12	   1.750	  13.443	   0.493
13	   1.750	  14.460	   0.493
14	   1.750	  15.478	   0.491
15	   1.750	  16.491	   0.499
16	   1.750	  17.562	   0.516
0	   1.875	   1.342	   0.467
1	   1.875	   2.310	   0.494
2	   1.875	   3.328	   0.494
3	   1.875	   4.345	   0.494
4	   1.875	   5.363	   0.494
5	   1.875	   6.381	   0.494
6	   1.875	   7.398	   0.494
7	   1.875	   8.416	   0.494
8	   1.875	   9.434	   0.494
9	   1.875	  10.451	   0.494
10	   1.875	  11.469	   0.494
11	   1.875	  12.487	   0.494
12	   1.875	  13.504	   0.494
13	   1.875	  14.522	   0.494
14	   1.875	  15.540	   0.491
15	   1.875	  16.554	   0.502
16	   1.875	  17.627	   0.514
0	   2.000	   1.401	   0.469
1	   2.000	   2.372	   0.494
2	   2.000	   3.389	   0.494
3	   2.000	   4.407	   0.494
4	   2.000	   5.425	   0.494
5	   2.000	   6.442	   0.494
6	   2.000	   7.460	   0.494
7	   2.000	   8.478	   0.494
8	   2.000	   9.495	   0.494
9	   2.000	  10.513	   0.494
10	   2.000	  11.531	   0.494
11	   2.000	  12.548	   0.494
12	   2.000	  13.566	   0.494
13	   2.000	  14.584	   0.495
14	   2.000	  15.601	   0.491
15	   2.000	  16.617	   0.504
16	   2.000	  17.691	   0.511
0	   2.125	   1.460	   0.471
1	   2.125	   2.434	   0.494
2	   2.125	   3.451	   0.494
3	   2.125	   4.469	   0.494
4	   2.125	   5.487	   0.494
5	   2.125	   6.504	   0.494
6	   2.125	   7.522	   0.494
7	   2.125	   8.539	   0.494
8	   2.125	   9.557	   0.494
9	   2.125	  10.575	   0.494
10	   2.125	  11.592	   0.494
11	   2.125	  12.610	   0.494
12	   2.125	  13.628	   0.494
13	   2.125	  14.646	   0.495
14	   2.125	  15.662	   0.491
15	   2.125	  16.680	   0.507
16	   2.125	  17.755	   0.508
0	   2.250	   1.519	   0.472
1	   2.250	   2.495	   0.495
2	   2.250	   3.513	   0.495
3	   2.250	   4.531	   0.495
4	   2.250	   5.548	   0.495
5	   2.250	   6.566	   0.495
6	   2.250	   7.584	   0.495
7	   2.250	   8.601	   0.495
8	   2.250	   9.619	   0.495
9	   2.250	  10.637	   0.495
10	   2.250	  11.654	   0.495
11	   2.250	  12.672	   0.495
12	   2.250	  13.689	   0.495
13	   2.250	  14.707	   0.495
14	   2.250	  15.724	   0.491
15	   2.250	  16.743	   0.509
16	   2.250	  17.818	   0.505
0	   2.375	   1.578	   0.474
1	   2.375	   2.557	   0.495
2	   2.375	   3.575	   0.495
3	   2.375	   4.593	   0.495
4	   2.375	   5.610	   0.495
5	   2.375	   6.628	   0.495
6	   2.375	   7.645	   0.495
7	   2.375	   8.663	   0.495
8	   2.375	   9.681	   0.495
9	   2.375	  10.698	   0.495
10	   2.375	  11.716	   0.495
11	   2.375	  12.734	   0.495
12	   2.375	  13.751	   0.495
13	   2.375	  14.769	   0.495
14	   2.375	  15.785	   0.491
15	   2.375	  16.807	   0.510
16	   2.375	  17.881	   0.503
0	   2.500	   1.637	   0.475
1	   2.500	   2.619	   0.495
2	   2.500	   3.637	   0.495
3	   2.500	   4.654	   0.495
4	   2.500	   5.672	   0.495
5	   2.500	   6.690	   0.495
6	   2.500	   7.707	   0.495
7	   2.500	   8.725	   0.495
8	   2.500	   9.743	   0.495
9	   2.500	  10.760	   0.495
10	   2.500	  11.778	   0.495
11	   2.500	  12.796	   0.495
12	   2.500	  13.813	   0.495
13	   2.500	  14.831	   0.495
14	   2.500	  15.847	   0.492
15	   2.500	  16.871	   0.512
16	   2.500	  17.944	   0.500
0	   2.625	   1.697	   0.477
1	   2.625	   2.681	   0.495
2	   2.625	   3.699	   0.495
3	   2.625	   4.716	   0.495
