# id	 time	 x	 v
0	   0.000	   0.244	   0.000
1	   0.000	   0.432	   0.000
2	   0.000	   0.721	   0.000
3	   0.000	   1.009	   0.000
4	   0.000	   1.297	   0.000
5	   0.000	   1.586	   0.000
6	   0.000	   1.874	   0.000
7	   0.000	   2.163	   0.000
8	   0.000	   2.451	   0.000
9	   0.000	   2.739	   0.000
10	   0.000	   3.027	   0.000
11	   0.000	   3.316	   0.000
12	   0.000	   3.604	   0.000
13	   0.000	   3.892	   0.000
14	   0.000	   4.181	   0.000
15	   0.000	   4.469	   0.000
16	   0.000	   4.758	   0.000
17	   0.000	   5.046	   0.000
18	   0.000	   5.334	   0.000
19	   0.000	   5.623	   0.000
20	   0.000	   5.911	   0.000
21	   0.000	   6.199	   0.000
22	   0.000	   6.488	   0.000
23	   0.000	   6.776	   0.000
24	   0.000	   7.064	   0.000
25	   0.000	   7.353	   0.000
26	   0.000	   7.641	   0.000
27	   0.000	   7.929	   0.000
28	   0.000	   8.218	   0.000
29	   0.000	   8.506	   0.000
30	   0.000	   8.794	   0.000
31	   0.000	   9.082	   0.000
32	   0.000	   9.371	   0.000
33	   0.000	   9.659	   0.000
34	   0.000	   9.947	   0.000
35	   0.000	  10.236	   0.000
36	   0.000	  10.524	   0.000
37	   0.000	  10.812	   0.000
38	   0.000	  11.101	   0.000
39	   0.000	  11.389	   0.000
40	   0.000	  11.678	   0.000
41	   0.000	  11.966	   0.000
42	   0.000	  12.254	   0.000
43	   0.000	  12.543	   0.000
44	   0.000	  12.831	   0.000
45	   0.000	  13.119	   0.000
46	   0.000	  13.408	   0.000
47	   0.000	  13.696	   0.000
48	   0.000	  13.984	   0.000
49	   0.000	  14.273	   0.000
50	   0.000	  14.561	   0.000
51	   0.000	  14.849	   0.000
52	   0.000	  15.137	   0.000
53	   0.000	  15.426	   0.000
54	   0.000	  15.714	   0.000
55	   0.000	  16.002	   0.000
56	   0.000	  16.291	   0.000
57	   0.000	  16.579	   0.000
