# id	 time	 x	 v
0	   0.000	   0.270	   0.000
1	   0.000	   0.509	   0.000
2	   0.000	   0.848	   0.000
3	   0.000	   1.187	   0.000
4	   0.000	   1.526	   0.000
5	   0.000	   1.866	   0.000
6	   0.000	   2.205	   0.000
7	   0.000	   2.544	   0.000
8	   0.000	   2.883	   0.000
9	   0.000	   3.223	   0.000
10	   0.000	   3.562	   0.000
11	   0.000	   3.901	   0.000
12	   0.000	   4.240	   0.000
13	   0.000	   4.579	   0.000
14	   0.000	   4.919	   0.000
15	   0.000	   5.258	   0.000
16	   0.000	   5.597	   0.000
17	   0.000	   5.936	   0.000
18	   0.000	   6.275	   0.000
19	   0.000	   6.615	   0.000
20	   0.000	   6.954	   0.000
21	   0.000	   7.293	   0.000
22	   0.000	   7.632	   0.000
23	   0.000	   7.972	   0.000
24	   0.000	   8.311	   0.000
25	   0.000	   8.650	   0.000
26	   0.000	   8.989	   0.000
27	   0.000	   9.328	   0.000
28	   0.000	   9.668	   0.000
29	   0.000	  10.007	   0.000
30	   0.000	  10.346	   0.000
31	   0.000	  10.685	   0.000
32	   0.000	  11.025	   0.000
33	   0.000	  11.364	   0.000
34	   0.000	  11.703	   0.000
35	   0.000	  12.042	   0.000
36	   0.000	  12.381	   0.000
37	   0.000	  12.721	   0.000
38	   0.000	  13.060	   0.000
39	   0.000	  13.399	   0.000
40	   0.000	  13.738	   0.000
41	   0.000	  14.077	   0.000
42	   0.000	  14.417	   0.000
43	   0.000	  14.756	   0.000
44	   0.000	  15.095	   0.000
45	   0.000	  15.434	   0.000
46	   0.000	  15.774	   0.000
47	   0.000	  16.113	   0.000
48	   0.000	  16.452	   0.000
49	   0.000	  16.791	   0.000
50	   0.000	  17.130	   0.000
0	   0.125	   0.274	   0.064
1	   0.125	   0.516	   0.094
2	   0.125	   0.855	   0.094
3	   0.125	   1.194	   0.094
4	   0.125	   1.533	   0.094
5	   0.125	   1.872	   0.094
6	   0.125	   2.212	   0.094
7	   0.125	   2.551	   0.094
8	   0.125	   2.890	   0.094
9	   0.125	   3.229	   0.094
10	   0.125	   3.569	   0.094
11	   0.125	   3.908	   0.094
12	   0.125	   4.247	   0.094
13	   0.125	   4.586	   0.094
14	   0.125	   4.925	   0.094
15	   0.125	   5.265	   0.094
16	   0.125	   5.604	   0.094
17	   0.125	   5.943	   0.094
18	   0.125	   6.282	   0.094
19	   0.125	   6.621	   0.094
20	   0.125	   6.961	   0.094
21	   0.125	   7.300	   0.094
22	   0.125	   7.639	   0.094
23	   0.125	   7.978	   0.094
24	   0.125	   8.318	   0.094
25	   0.125	   8.657	   0.094
26	   0.125	   8.996	   0.094
27	   0.125	   9.335	   0.094
28	   0.125	   9.674	   0.094
29	   0.125	  10.014	   0.094
30	   0.125	  10.353	   0.094
31	   0.125	  10.692	   0.094
32	   0.125	  11.031	   0.094
33	   0.125	  11.370	   0.094
34	   0.125	  11.710	   0.094
35	   0.125	  12.049	   0.094
36	   0.125	  12.388	   0.094
37	   0.125	  12.727	   0.094
38	   0.125	  13.067	   0.094
39	   0.125	  13.406	   0.094
40	   0.125	  13.745	   0.094
41	   0.125	  14.084	   0.094
42	   0.125	  14.423	   0.094
43	   0.125	  14.763	   0.094
44	   0.125	  15.102	   0.094
45	   0.125	  15.441	   0.094
46	   0.125	  15.780	   0.094
47	   0.125	  16.120	   0.094
48	   0.125	  16.459	   0.095
49	   0.125	  16.798	   0.090
50	   0.125	  17.140	   0.130
0	   0.250	   0.284	   0.100
1	   0.250	   0.531	   0.142
2	   0.250	   0.870	   0.142
3	   0.250	   1.209	   0.142
4	   0.250	   1.548	   0.142
5	   0.250	   1.887	   0.142
6	   0.250	   2.227	   0.142
7	   0.250	   2.566	   0.142
8	   0.250	   2.905	   0.142
9	   0.250	   3.244	   0.142
10	   0.250	   3.584	   0.142
11	   0.250	   3.923	   0.142
12	   0.250	   4.262	   0.142
13	   0.250	   4.601	   0.142
14	   0.250	   4.940	   0.142
15	   0.250	   5.280	   0.142
16	   0.250	   5.619	   0.142
17	   0.250	   5.958	   0.142
18	   0.250	   6.297	   0.142
19	   0.250	   6.636	   0.142
20	   0.250	   6.976	   0.142
21	   0.250	   7.315	   0.142
22	   0.250	   7.654	   0.142
23	   0.250	   7.993	   0.142
24	   0.250	   8.333	   0.142
25	   0.250	   8.672	   0.142
26	   0.250	   9.011	   0.142
27	   0.250	   9.350	   0.142
28	   0.250	   9.689	   0.142
29	   0.250	  10.029	   0.142
30	   0.250	  10.368	   0.142
31	   0.250	  10.707	   0.142
32	   0.250	  11.046	   0.142
33	   0.250	  11.385	   0.142
34	   0.250	  11.725	   0.142
35	   0.250	  12.064	   0.142
36	   0.250	  12.403	   0.142
37	   0.250	  12.742	   0.142
38	   0.250	  13.082	   0.142
39	   0.250	  13.421	   0.142
40	   0.250	  13.760	   0.142
41	   0.250	  14.099	   0.142
42	   0.250	  14.438	   0.142
43	   0.250	  14.778	   0.142
44	   0.250	  15.117	   0.142
45	   0.250	  15.456	   0.142
46	   0.250	  15.795	   0.142
47	   0.250	  16.134	   0.142
48	   0.250	  16.474	   0.143
49	   0.250	  16.812	   0.134
50	   0.250	  17.160	   0.192
0	   0.375	   0.298	   0.124
1	   0.375	   0.550	   0.172
2	   0.375	   0.890	   0.172
3	   0.375	   1.229	   0.172
4	   0.375	   1.568	   0.172
5	   0.375	   1.907	   0.172
6	   0.375	   2.246	   0.172
7	   0.375	   2.586	   0.172
8	   0.375	   2.925	   0.172
9	   0.375	   3.264	   0.172
10	   0.375	   3.603	   0.172
11	   0.375	   3.942	   0.172
12	   0.375	   4.282	   0.172
13	   0.375	   4.621	   0.172
14	   0.375	   4.960	   0.172
15	   0.375	   5.299	   0.172
16	   0.375	   5.639	   0.172
17	   0.375	   5.978	   0.172
18	   0.375	   6.317	   0.172
19	   0.375	   6.656	   0.172
20	   0.375	   6.995	   0.172
21	   0.375	   7.335	   0.172
22	   0.375	   7.674	   0.172
23	   0.375	   8.013	   0.172
24	   0.375	   8.352	   0.172
25	   0.375	   8.691	   0.172
26	   0.375	   9.031	   0.172
27	   0.375	   9.370	   0.172
28	   0.375	   9.709	   0.172
29	   0.375	  10.048	   0.172
30	   0.375	  10.388	   0.172
31	   0.375	  10.727	   0.172
32	   0.375	  11.066	   0.172
33	   0.375	  11.405	   0.172
34	   0.375	  11.744	   0.172
35	   0.375	  12.084	   0.172
36	   0.375	  12.423	   0.172
37	   0.375	  12.762	   0.172
38	   0.375	  13.101	   0.172
39	   0.375	  13.440	   0.172
40	   0.375	  13.780	   0.172
41	   0.375	  14.119	   0.172
42	   0.375	  14.458	   0.172
43	   0.375	  14.797	   0.172
44	   0.375	  15.137	   0.172
45	   0.375	  15.476	   0.172
46	   0.375	  15.815	   0.172
47	   0.375	  16.154	   0.172
48	   0.375	  16.494	   0.173
49	   0.375	  16.831	   0.163
50	   0.375	  17.187	   0.228
0	   0.500	   0.315	   0.142
1	   0.500	   0.573	   0.192
2	   0.500	   0.912	   0.192
3	   0.500	   1.252	   0.192
4	   0.500	   1.591	   0.192
5	   0.500	   1.930	   0.192
6	   0.500	   2.269	   0.192
7	   0.500	   2.608	   0.192
8	   0.500	   2.948	   0.192
9	   0.500	   3.287	   0.192
10	   0.500	   3.626	   0.192
11	   0.500	   3.965	   0.192
12	   0.500	   4.305	   0.192
13	   0.500	   4.644	   0.192
14	   0.500	   4.983	   0.192
15	   0.500	   5.322	   0.192
16	   0.500	   5.661	   0.192
17	   0.500	   6.001	   0.192
18	   0.500	   6.340	   0.192
19	   0.500	   6.679	   0.192
20	   0.500	   7.018	   0.192
21	   0.500	   7.357	   0.192
22	   0.500	   7.697	   0.192
23	   0.500	   8.036	   0.192
24	   0.500	   8.375	   0.192
25	   0.500	   8.714	   0.192
26	   0.500	   9.054	   0.192
27	   0.500	   9.393	   0.192
28	   0.500	   9.732	   0.192
29	   0.500	  10.071	   0.192
30	   0.500	  10.410	   0.192
31	   0.500	  10.750	   0.192
32	   0.500	  11.089	   0.192
33	   0.500	  11.428	   0.192
34	   0.500	  11.767	   0.192
35	   0.500	  12.106	   0.192
36	   0.500	  12.446	   0.192
37	   0.500	  12.785	   0.192
38	   0.500	  13.124	   0.192
39	   0.500	  13.463	   0.192
40	   0.500	  13.803	   0.192
41	   0.500	  14.142	   0.192
42	   0.500	  14.481	   0.192
43	   0.500	  14.820	   0.192
44	   0.500	  15.159	   0.192
45	   0.500	  15.499	   0.192
46	   0.500	  15.838	   0.192
47	   0.500	  16.177	   0.192
48	   0.500	  16.517	   0.194
49	   0.500	  16.852	   0.184
50	   0.500	  17.217	   0.250
0	   0.625	   0.334	   0.156
1	   0.625	   0.598	   0.207
2	   0.625	   0.937	   0.207
3	   0.625	   1.277	   0.207
4	   0.625	   1.616	   0.207
5	   0.625	   1.955	   0.207
6	   0.625	   2.294	   0.207
7	   0.625	   2.633	   0.207
8	   0.625	   2.973	   0.207
9	   0.625	   3.312	   0.207
10	   0.625	   3.651	   0.207
11	   0.625	   3.990	   0.207
12	   0.625	   4.329	   0.207
13	   0.625	   4.669	   0.207
14	   0.625	   5.008	   0.207
15	   0.625	   5.347	   0.207
16	   0.625	   5.686	   0.207
17	   0.625	   6.026	   0.207
18	   0.625	   6.365	   0.207
19	   0.625	   6.704	   0.207
20	   0.625	   7.043	   0.207
21	   0.625	   7.382	   0.207
22	   0.625	   7.722	   0.207
23	   0.625	   8.061	   0.207
24	   0.625	   8.400	   0.207
25	   0.625	   8.739	   0.207
26	   0.625	   9.079	   0.207
27	   0.625	   9.418	   0.207
28	   0.625	   9.757	   0.207
29	   0.625	  10.096	   0.207
30	   0.625	  10.435	   0.207
31	   0.625	  10.775	   0.207
32	   0.625	  11.114	   0.207
