# id	 time	 x	 v
0	   0.000	   0.354	   0.000
1	   0.000	   0.763	   0.000
2	   0.000	   1.272	   0.000
3	   0.000	   1.781	   0.000
4	   0.000	   2.290	   0.000
5	   0.000	   2.799	   0.000
6	   0.000	   3.307	   0.000
7	   0.000	   3.816	   0.000
8	   0.000	   4.325	   0.000
9	   0.000	   4.834	   0.000
10	   0.000	   5.343	   0.000
11	   0.000	   5.851	   0.000
12	   0.000	   6.360	   0.000
13	   0.000	   6.869	   0.000
14	   0.000	   7.378	   0.000
15	   0.000	   7.887	   0.000
16	   0.000	   8.396	   0.000
17	   0.000	   8.904	   0.000
18	   0.000	   9.413	   0.000
19	   0.000	   9.922	   0.000
20	   0.000	  10.431	   0.000
21	   0.000	  10.940	   0.000
22	   0.000	  11.449	   0.000
23	   0.000	  11.957	   0.000
24	   0.000	  12.466	   0.000
25	   0.000	  12.975	   0.000
26	   0.000	  13.484	   0.000
27	   0.000	  13.993	   0.000
28	   0.000	  14.501	   0.000
29	   0.000	  15.010	   0.000
30	   0.000	  15.519	   0.000
31	   0.000	  16.028	   0.000
32	   0.000	  16.537	   0.000
33	   0.000	  17.046	   0.000
0	   0.125	   0.362	   0.110
1	   0.125	   0.773	   0.135
2	   0.125	   1.282	   0.135
3	   0.125	   1.790	   0.135
4	   0.125	   2.299	   0.135
5	   0.125	   2.808	   0.135
6	   0.125	   3.317	   0.135
7	   0.125	   3.826	   0.135
8	   0.125	   4.335	   0.135
9	   0.125	   4.843	   0.135
10	   0.125	   5.352	   0.135
11	   0.125	   5.861	   0.135
12	   0.125	   6.370	   0.135
13	   0.125	   6.879	   0.135
14	   0.125	   7.387	   0.135
15	   0.125	   7.896	   0.135
16	   0.125	   8.405	   0.135
17	   0.125	   8.914	   0.135
18	   0.125	   9.423	   0.135
19	   0.125	   9.932	   0.135
20	   0.125	  10.440	   0.135
21	   0.125	  10.949	   0.135
22	   0.125	  11.458	   0.135
23	   0.125	  11.967	   0.135
24	   0.125	  12.476	   0.135
25	   0.125	  12.985	   0.135
26	   0.125	  13.493	   0.135
27	   0.125	  14.002	   0.135
28	   0.125	  14.511	   0.135
29	   0.125	  15.020	   0.135
30	   0.125	  15.529	   0.135
31	   0.125	  16.037	   0.135
32	   0.125	  16.546	   0.133
33	   0.125	  17.056	   0.156
0	   0.250	   0.380	   0.161
1	   0.250	   0.794	   0.197
2	   0.250	   1.303	   0.197
3	   0.250	   1.811	   0.197
4	   0.250	   2.320	   0.197
5	   0.250	   2.829	   0.197
6	   0.250	   3.338	   0.197
7	   0.250	   3.847	   0.197
8	   0.250	   4.356	   0.197
9	   0.250	   4.864	   0.197
10	   0.250	   5.373	   0.197
11	   0.250	   5.882	   0.197
12	   0.250	   6.391	   0.197
13	   0.250	   6.900	   0.197
14	   0.250	   7.409	   0.197
15	   0.250	   7.917	   0.197
16	   0.250	   8.426	   0.197
17	   0.250	   8.935	   0.197
18	   0.250	   9.444	   0.197
19	   0.250	   9.953	   0.197
20	   0.250	  10.461	   0.197
21	   0.250	  10.970	   0.197
22	   0.250	  11.479	   0.197
23	   0.250	  11.988	   0.197
24	   0.250	  12.497	   0.197
25	   0.250	  13.006	   0.197
26	   0.250	  13.514	   0.197
27	   0.250	  14.023	   0.197
28	   0.250	  14.532	   0.197
29	   0.250	  15.041	   0.197
30	   0.250	  15.550	   0.197
31	   0.250	  16.059	   0.198
32	   0.250	  16.567	   0.191
33	   0.250	  17.081	   0.237
0	   0.375	   0.402	   0.193
1	   0.375	   0.821	   0.235
2	   0.375	   1.330	   0.235
3	   0.375	   1.839	   0.235
4	   0.375	   2.347	   0.235
5	   0.375	   2.856	   0.235
6	   0.375	   3.365	   0.235
7	   0.375	   3.874	   0.235
8	   0.375	   4.383	   0.235
9	   0.375	   4.892	   0.235
10	   0.375	   5.400	   0.235
11	   0.375	   5.909	   0.235
12	   0.375	   6.418	   0.235
13	   0.375	   6.927	   0.235
14	   0.375	   7.436	   0.235
15	   0.375	   7.945	   0.235
16	   0.375	   8.453	   0.235
17	   0.375	   8.962	   0.235
18	   0.375	   9.471	   0.235
19	   0.375	   9.980	   0.235
20	   0.375	  10.489	   0.235
21	   0.375	  10.997	   0.235
22	   0.375	  11.506	   0.235
23	   0.375	  12.015	   0.235
24	   0.375	  12.524	   0.235
25	   0.375	  13.033	   0.235
26	   0.375	  13.542	   0.235
27	   0.375	  14.050	   0.235
28	   0.375	  14.559	   0.235
29	   0.375	  15.068	   0.235
30	   0.375	  15.577	   0.235
31	   0.375	  16.086	   0.236
32	   0.375	  16.593	   0.227
33	   0.375	  17.114	   0.282
0	   0.500	   0.428	   0.216
1	   0.500	   0.852	   0.260
2	   0.500	   1.361	   0.260
3	   0.500	   1.870	   0.260
4	   0.500	   2.378	   0.260
5	   0.500	   2.887	   0.260
6	   0.500	   3.396	   0.260
7	   0.500	   3.905	   0.260
8	   0.500	   4.414	   0.260
9	   0.500	   4.923	   0.260
10	   0.500	   5.431	   0.260
11	   0.500	   5.940	   0.260
12	   0.500	   6.449	   0.260
13	   0.500	   6.958	   0.260
14	   0.500	   7.467	   0.260
15	   0.500	   7.976	   0.260
16	   0.500	   8.484	   0.260
17	   0.500	   8.993	   0.260
18	   0.500	   9.502	   0.260
19	   0.500	  10.011	   0.260
20	   0.500	  10.520	   0.260
21	   0.500	  11.028	   0.260
22	   0.500	  11.537	   0.260
23	   0.500	  12.046	   0.260
24	   0.500	  12.555	   0.260
25	   0.500	  13.064	   0.260
26	   0.500	  13.573	   0.260
27	   0.500	  14.081	   0.260
28	   0.500	  14.590	   0.259
29	   0.500	  15.099	   0.260
30	   0.500	  15.608	   0.259
31	   0.500	  16.117	   0.261
32	   0.500	  16.623	   0.251
33	   0.500	  17.151	   0.310
0	   0.625	   0.456	   0.232
1	   0.625	   0.886	   0.276
2	   0.625	   1.394	   0.276
3	   0.625	   1.903	   0.276
4	   0.625	   2.412	   0.276
5	   0.625	   2.921	   0.276
6	   0.625	   3.430	   0.276
7	   0.625	   3.938	   0.276
8	   0.625	   4.447	   0.276
9	   0.625	   4.956	   0.276
10	   0.625	   5.465	   0.276
11	   0.625	   5.974	   0.276
12	   0.625	   6.483	   0.276
13	   0.625	   6.991	   0.276
14	   0.625	   7.500	   0.276
15	   0.625	   8.009	   0.276
16	   0.625	   8.518	   0.276
17	   0.625	   9.027	   0.276
18	   0.625	   9.536	   0.276
19	   0.625	  10.044	   0.276
20	   0.625	  10.553	   0.276
21	   0.625	  11.062	   0.276
22	   0.625	  11.571	   0.276
23	   0.625	  12.080	   0.276
24	   0.625	  12.588	   0.276
25	   0.625	  13.097	   0.276
26	   0.625	  13.606	   0.276
27	   0.625	  14.115	   0.276
28	   0.625	  14.624	   0.276
29	   0.625	  15.133	   0.276
30	   0.625	  15.641	   0.276
31	   0.625	  16.151	   0.278
32	   0.625	  16.656	   0.269
33	   0.625	  17.191	   0.327
0	   0.750	   0.485	   0.244
1	   0.750	   0.921	   0.288
2	   0.750	   1.430	   0.288
3	   0.750	   1.938	   0.288
