# id	 time	 x	 v
0	   0.000	   1.181	   0.000
1	   0.000	   3.244	   0.000
2	   0.000	   5.406	   0.000
3	   0.000	   7.569	   0.000
4	   0.000	   9.731	   0.000
5	   0.000	  11.894	   0.000
6	   0.000	  14.056	   0.000
7	   0.000	  16.219	   0.000
0	   0.125	   1.198	   0.266
1	   0.125	   3.261	   0.266
2	   0.125	   5.423	   0.266
3	   0.125	   7.586	   0.266
4	   0.125	   9.748	   0.266
5	   0.125	  11.911	   0.266
6	   0.125	  14.073	   0.266
7	   0.125	  16.236	   0.266
0	   0.250	   1.245	   0.472
1	   0.250	   3.307	   0.473
2	   0.250	   5.470	   0.473
3	   0.250	   7.632	   0.473
4	   0.250	   9.795	   0.473
5	   0.250	  11.957	   0.473
6	   0.250	  14.120	   0.473
7	   0.250	  16.282	   0.473
0	   0.375	   1.312	   0.582
1	   0.375	   3.375	   0.596
2	   0.375	   5.538	   0.596
3	   0.375	   7.700	   0.596
4	   0.375	   9.863	   0.596
5	   0.375	  12.025	   0.596
6	   0.375	  14.188	   0.594
7	   0.375	  16.351	   0.610
0	   0.500	   1.388	   0.631
1	   0.500	   3.454	   0.651
2	   0.500	   5.616	   0.651
3	   0.500	   7.779	   0.651
4	   0.500	   9.941	   0.651
5	   0.500	  12.104	   0.651
6	   0.500	  14.266	   0.647
7	   0.500	  16.432	   0.673
0	   0.625	   1.469	   0.656
1	   0.625	   3.537	   0.679
2	   0.625	   5.699	   0.679
3	   0.625	   7.862	   0.679
4	   0.625	  10.024	   0.679
5	   0.625	  12.187	   0.680
6	   0.625	  14.348	   0.673
7	   0.625	  16.518	   0.706
0	   0.750	   1.552	   0.670
1	   0.750	   3.623	   0.694
2	   0.750	   5.785	   0.694
3	   0.750	   7.948	   0.694
4	   0.750	  10.110	   0.694
5	   0.750	  12.273	   0.695
6	   0.750	  14.433	   0.687
7	   0.750	  16.608	   0.723
0	   0.875	   1.636	   0.678
1	   0.875	   3.710	   0.702
2	   0.875	   5.873	   0.702
3	   0.875	   8.035	   0.702
4	   0.875	  10.198	   0.702
5	   0.875	  12.361	   0.704
6	   0.875	  14.520	   0.695
7	   0.875	  16.699	   0.732
0	   1.000	   1.721	   0.683
1	   1.000	   3.798	   0.707
2	   1.000	   5.961	   0.707
3	   1.000	   8.123	   0.707
4	   1.000	  10.286	   0.707
5	   1.000	  12.449	   0.709
6	   1.000	  14.607	   0.700
7	   1.000	  16.791	   0.737
0	   1.125	   1.807	   0.686
1	   1.125	   3.887	   0.710
2	   1.125	   6.049	   0.710
3	   1.125	   8.212	   0.710
4	   1.125	  10.374	   0.709
5	   1.125	  12.538	   0.711
6	   1.125	  14.695	   0.703
7	   1.125	  16.883	   0.739
0	   1.250	   1.892	   0.688
1	   1.250	   3.976	   0.711
2	   1.250	   6.138	   0.711
3	   1.250	   8.301	   0.711
4	   1.250	  10.463	   0.711
5	   1.250	  12.627	   0.712
6	   1.250	  14.783	   0.706
7	   1.250	  16.975	   0.739
0	   1.375	   1.979	   0.689
1	   1.375	   4.064	   0.712
2	   1.375	   6.227	   0.712
3	   1.375	   8.390	   0.712
4	   1.375	  10.552	   0.712
5	   1.375	  12.716	   0.713
6	   1.375	  14.871	   0.708
7	   1.375	  17.067	   0.738
0	   1.500	   2.065	   0.690
1	   1.500	   4.153	   0.712
2	   1.500	   6.316	   0.712
3	   1.500	   8.479	   0.712
4	   1.500	  10.641	   0.712
5	   1.500	  12.805	   0.713
6	   1.500	  14.960	   0.710
7	   1.500	  17.160	   0.737
0	   1.625	   2.151	   0.691
1	   1.625	   4.243	   0.713
2	   1.625	   6.405	   0.713
3	   1.625	   8.568	   0.713
4	   1.625	  10.730	   0.713
5	   1.625	  12.894	   0.712
6	   1.625	  15.048	   0.711
7	   1.625	  17.252	   0.735
0	   1.750	   2.238	   0.692
1	   1.750	   4.332	   0.713
2	   1.750	   6.494	   0.713
3	   1.750	   8.657	   0.713
4	   1.750	  10.819	   0.713
5	   1.750	  12.983	   0.712
6	   1.750	  15.137	   0.713
7	   1.750	  17.344	   0.734
0	   1.875	   2.324	   0.693
1	   1.875	   4.421	   0.713
2	   1.875	   6.583	   0.713
3	   1.875	   8.746	   0.713
4	   1.875	  10.908	   0.713
5	   1.875	  13.072	   0.711
6	   1.875	  15.227	   0.714
7	   1.875	  17.435	   0.732
0	   2.000	   2.411	   0.694
1	   2.000	   4.510	   0.713
2	   2.000	   6.672	   0.713
3	   2.000	   8.835	   0.713
4	   2.000	  10.997	   0.713
5	   2.000	  13.161	   0.711
6	   2.000	  15.316	   0.716
7	   2.000	  17.527	   0.730
0	   2.125	   2.498	   0.694
1	   2.125	   4.599	   0.713
2	   2.125	   6.761	   0.713
3	   2.125	   8.924	   0.713
4	   2.125	  11.086	   0.714
5	   2.125	  13.250	   0.710
6	   2.125	  15.406	   0.717
7	   2.125	  17.618	   0.729
0	   2.250	   2.584	   0.695
1	   2.250	   4.688	   0.713
2	   2.250	   6.851	   0.713
3	   2.250	   9.013	   0.713
4	   2.250	  11.176	   0.714
5	   2.250	  13.338	   0.710
6	   2.250	  15.495	   0.718
7	   2.250	  17.709	   0.727
0	   2.375	   2.671	   0.696
1	   2.375	   4.777	   0.713
2	   2.375	   6.940	   0.713
3	   2.375	   9.102	   0.713
4	   2.375	  11.265	   0.714
5	   2.375	  13.427	   0.710
6	   2.375	  15.585	   0.720
7	   2.375	  17.800	   0.726
0	   2.500	   2.758	   0.696
1	   2.500	   4.866	   0.713
2	   2.500	   7.029	   0.713
3	   2.500	   9.191	   0.713
4	   2.500	  11.354	   0.714
5	   2.500	  13.516	   0.710
6	   2.500	  15.675	   0.721
7	   2.500	  17.890	   0.724
0	   2.625	   2.845	   0.697
1	   2.625	   4.955	   0.713
2	   2.625	   7.118	   0.713
3	   2.625	   9.280	   0.713
4	   2.625	  11.443	   0.714
5	   2.625	  13.604	   0.709
6	   2.625	  15.765	   0.721
7	   2.625	  17.981	   0.723
0	   2.750	   2.933	   0.698
1	   2.750	   5.044	   0.713
2	   2.750	   7.207	   0.713
3	   2.750	   9.369	   0.713
4	   2.750	  11.533	   0.714
5	   2.750	  13.693	   0.709
6	   2.750	  15.856	   0.722
7	   2.750	  18.071	   0.722
0	   2.875	   3.020	   0.698
1	   2.875	   5.134	   0.713
2	   2.875	   7.296	   0.713
3	   2.875	   9.458	   0.713
4	   2.875	  11.622	   0.714
5	   2.875	  13.782	   0.709
6	   2.875	  15.946	   0.723
7	   2.875	  18.161	   0.720
0	   3.000	   3.107	   0.699
1	   3.000	   5.223	   0.713
2	   3.000	   7.385	   0.713
3	   3.000	   9.547	   0.713
4	   3.000	  11.711	   0.714
5	   3.000	  13.871	   0.709
6	   3.000	  16.036	   0.723
7	   3.000	  18.251	   0.719
0	   3.125	   3.194	   0.699
1	   3.125	   5.312	   0.713
2	   3.125	   7.474	   0.713
3	   3.125	   9.637	   0.713
4	   3.125	  11.800	   0.714
5	   3.125	  13.959	   0.710
6	   3.125	  16.127	   0.724
7	   3.125	  18.341	   0.718
0	   3.250	   3.282	   0.700
1	   3.250	   5.401	   0.713
2	   3.250	   7.563	   0.713
3	   3.250	   9.726	   0.713
4	   3.250	  11.889	   0.713
5	   3.250	  14.048	   0.710
6	   3.250	  16.217	   0.724
7	   3.250	  18.431	   0.717
0	   3.375	   3.369	   0.700
1	   3.375	   5.490	   0.713
2	   3.375	   7.653	   0.713
3	   3.375	   9.815	   0.713
4	   3.375	  11.979	   0.713
5	   3.375	  14.137	   0.710
6	   3.375	  16.308	   0.725
7	   3.375	  18.520	   0.716
0	   3.500	   3.457	   0.701
1	   3.500	   5.579	   0.713
2	   3.500	   7.742	   0.713
3	   3.500	   9.904	   0.713
4	   3.500	  12.068	   0.713
5	   3.500	  14.225	   0.710
6	   3.500	  16.398	   0.725
7	   3.500	  18.610	   0.716
0	   3.625	   3.545	   0.701
1	   3.625	   5.668	   0.713
2	   3.625	   7.831	   0.713
3	   3.625	   9.993	   0.713
4	   3.625	  12.157	   0.713
5	   3.625	  14.314	   0.711
6	   3.625	  16.489	   0.725
7	   3.625	  18.699	   0.715
0	   3.750	   3.632	   0.702
1	   3.750	   5.757	   0.713
2	   3.750	   7.920	   0.713
3	   3.750	  10.082	   0.713
4	   3.750	  12.246	   0.713
5	   3.750	  14.403	   0.711
6	   3.750	  16.580	   0.725
7	   3.750	  18.788	   0.714
0	   3.875	   3.720	   0.702
1	   3.875	   5.847	   0.713
2	   3.875	   8.009	   0.713
3	   3.875	  10.171	   0.713
4	   3.875	  12.335	   0.712
5	   3.875	  14.492	   0.711
6	   3.875	  16.670	   0.725
7	   3.875	  18.878	   0.713
0	   4.000	   3.808	   0.702
1	   4.000	   5.936	   0.713
2	   4.000	   8.098	   0.713
3	   4.000	  10.261	   0.713
4	   4.000	  12.424	   0.712
5	   4.000	  14.581	   0.712
6	   4.000	  16.761	   0.725
7	   4.000	  18.967	   0.713
0	   4.125	   3.896	   0.703
1	   4.125	   6.025	   0.713
2	   4.125	   8.187	   0.713
3	   4.125	  10.350	   0.713
4	   4.125	  12.513	   0.712
5	   4.125	  14.670	   0.712
6	   4.125	  16.852	   0.725
7	   4.125	  19.056	   0.712
0	   4.250	   3.983	   0.703
1	   4.250	   6.114	   0.713
2	   4.250	   8.276	   0.713
3	   4.250	  10.439	   0.713
4	   4.250	  12.602	   0.712
5	   4.250	  14.759	   0.713
6	   4.250	  16.942	   0.725
7	   4.250	  19.145	   0.711
0	   4.375	   4.071	   0.704
