# id	 time	 x	 y	 vx	 vy
0	  0.000	  2.381	  1.000	  0.010	  0.010
1	  0.000	  7.143	  1.000	  0.010	  0.010
2	  0.000	 11.905	  1.000	  0.010	  0.010
3	  0.000	 16.667	  1.000	  0.010	  0.010
4	  0.000	 21.429	  1.000	  0.010	  0.010
5	  0.000	 26.190	  1.000	  0.010	  0.010
6	  0.000	 30.952	  1.000	  0.010	  0.010
7	  0.000	 35.714	  1.000	  0.010	  0.010
8	  0.000	 40.476	  1.000	  0.010	  0.010
9	  0.000	 45.238	  1.000	  0.010	  0.010
10	  0.000	 50.000	  1.000	  0.010	  0.010
11	  0.000	 54.762	  1.000	  0.010	  0.010
12	  0.000	 59.524	  1.000	  0.010	  0.010
13	  0.000	 64.286	  1.000	  0.010	  0.010
14	  0.000	 69.048	  1.000	  0.010	  0.010
15	  0.000	 73.810	  1.000	  0.010	  0.010
16	  0.000	 78.571	  1.000	  0.010	  0.010
17	  0.000	 83.333	  1.000	  0.010	  0.010
18	  0.000	 88.095	  1.000	  0.010	  0.010
19	  0.000	 92.857	  1.000	  0.010	  0.010
20	  0.000	 97.619	  1.000	  0.010	  0.010
0	  0.120	  2.401	  1.001	  0.331	  0.008
1	  0.120	  7.162	  1.001	  0.331	  0.008
2	  0.120	 11.924	  1.001	  0.331	  0.008
3	  0.120	 16.686	  1.001	  0.331	  0.008
4	  0.120	 21.448	  1.001	  0.331	  0.008
5	  0.120	 26.210	  1.001	  0.331	  0.008
6	  0.120	 30.972	  1.001	  0.331	  0.008
7	  0.120	 35.734	  1.001	  0.331	  0.008
8	  0.120	 40.496	  1.001	  0.331	  0.008
9	  0.120	 45.258	  1.001	  0.331	  0.008
10	  0.120	 50.020	  1.001	  0.331	  0.008
11	  0.120	 54.782	  1.001	  0.331	  0.008
12	  0.120	 59.543	  1.001	  0.331	  0.008
13	  0.120	 64.305	  1.001	  0.331	  0.008
14	  0.120	 69.067	  1.001	  0.331	  0.008
15	  0.120	 73.829	  1.001	  0.331	  0.008
16	  0.120	 78.591	  1.001	  0.331	  0.008
17	  0.120	 83.353	  1.001	  0.331	  0.008
18	  0.120	 88.115	  1.001	  0.331	  0.008
19	  0.120	 92.877	  1.001	  0.331	  0.008
20	  0.120	 97.639	  1.001	  0.331	  0.008
0	  0.240	  2.455	  1.002	  0.582	  0.006
1	  0.240	  7.217	  1.002	  0.582	  0.006
2	  0.240	 11.979	  1.002	  0.582	  0.006
3	  0.240	 16.740	  1.002	  0.582	  0.006
4	  0.240	 21.502	  1.002	  0.582	  0.006
5	  0.240	 26.264	  1.002	  0.582	  0.006
6	  0.240	 31.026	  1.002	  0.582	  0.006
7	  0.240	 35.788	  1.002	  0.582	  0.006
8	  0.240	 40.550	  1.002	  0.582	  0.006
9	  0.240	 45.312	  1.002	  0.582	  0.006
10	  0.240	 50.074	  1.002	  0.582	  0.006
11	  0.240	 54.836	  1.002	  0.582	  0.006
12	  0.240	 59.598	  1.002	  0.582	  0.006
13	  0.240	 64.359	  1.002	  0.582	  0.006
14	  0.240	 69.121	  1.002	  0.582	  0.006
15	  0.240	 73.883	  1.002	  0.582	  0.006
16	  0.240	 78.645	  1.002	  0.582	  0.006
