# id	 time	 x	 y	 vx	 vy
0	  0.000	  4.167	  1.000	  0.010	  0.010
1	  0.000	 12.500	  1.000	  0.010	  0.010
2	  0.000	 20.833	  1.000	  0.010	  0.010
3	  0.000	 29.167	  1.000	  0.010	  0.010
4	  0.000	 37.500	  1.000	  0.010	  0.010
5	  0.000	 45.833	  1.000	  0.010	  0.010
6	  0.000	 54.167	  1.000	  0.010	  0.010
7	  0.000	 62.500	  1.000	  0.010	  0.010
8	  0.000	 70.833	  1.000	  0.010	  0.010
9	  0.000	 79.167	  1.000	  0.010	  0.010
10	  0.000	 87.500	  1.000	  0.010	  0.010
11	  0.000	 95.833	  1.000	  0.010	  0.010
0	  0.120	  4.186	  1.001	  0.331	  0.008
1	  0.120	 12.520	  1.001	  0.331	  0.008
2	  0.120	 20.853	  1.001	  0.331	  0.008
3	  0.120	 29.186	  1.001	  0.331	  0.008
4	  0.120	 37.520	  1.001	  0.331	  0.008
5	  0.120	 45.853	  1.001	  0.331	  0.008
6	  0.120	 54.186	  1.001	  0.331	  0.008
7	  0.120	 62.520	  1.001	  0.331	  0.008
8	  0.120	 70.853	  1.001	  0.331	  0.008
9	  0.120	 79.186	  1.001	  0.331	  0.008
10	  0.120	 87.520	  1.001	  0.331	  0.008
11	  0.120	 95.853	  1.001	  0.331	  0.008
0	  0.240	  4.240	  1.002	  0.582	  0.006
1	  0.240	 12.574	  1.002	  0.582	  0.006
2	  0.240	 20.907	  1.002	  0.582	  0.006
3	  0.240	 29.240	  1.002	  0.582	  0.006
4	  0.240	 37.574	  1.002	  0.582	  0.006
5	  0.240	 45.907	  1.002	  0.582	  0.006
6	  0.240	 54.240	  1.002	  0.582	  0.006
7	  0.240	 62.574	  1.002	  0.582	  0.006
8	  0.240	 70.907	  1.002	  0.582	  0.006
9	  0.240	 79.240	  1.002	  0.582	  0.006
10	  0.240	 87.574	  1.002	  0.582	  0.006
11	  0.240	 95.907	  1.002	  0.582	  0.006
0	  0.360	  4.322	  1.003	  0.780	  0.005
1	  0.360	 12.655	  1.003	  0.780	  0.005
2	  0.360	 20.988	  1.003	  0.780	  0.005
3	  0.360	 29.322	  1.003	  0.780	  0.005
4	  0.360	 37.655	  1.003	  0.780	  0.005
5	  0.360	 45.988	  1.003	  0.780	  0.005
6	  0.360	 54.322	  1.003	  0.780	  0.005
7	  0.360	 62.655	  1.003	  0.780	  0.005
8	  0.360	 70.988	  1.003	  0.780	  0.005
9	  0.360	 79.322	  1.003	  0.780	  0.005
10	  0.360	 87.655	  1.003	  0.780	  0.005
11	  0.360	 95.988	  1.003	  0.780	  0.005
0	  0.480	  4.424	  1.003	  0.935	  0.004
1	  0.480	 12.757	  1.003	  0.935	  0.004
2	  0.480	 21.091	  1.003	  0.935	  0.004
3	  0.480	 29.424	  1.003	  0.935	  0.004
4	  0.480	 37.757	  1.003	  0.935	  0.004
5	  0.480	 46.091	  1.003	  0.935	  0.004
6	  0.480	 54.424	  1.003	  0.935	  0.004
7	  0.480	 62.757	  1.003	  0.935	  0.004
8	  0.480	 71.091	  1.003	  0.935	  0.004
9	  0.480	 79.424	  1.003	  0.935	  0.004
10	  0.480	 87.757	  1.003	  0.935	  0.004
11	  0.480	 96.091	  1.003	  0.935	  0.004
0	  0.600	  4.543	  1.004	  1.057	  0.003
1	  0.600	 12.877	  1.004	  1.057	  0.003
2	  0.600	 21.210	  1.004	  1.057	  0.003
3	  0.600	 29.543	  1.004	  1.057	  0.003
4	  0.600	 37.877	  1.004	  1.057	  0.003
5	  0.600	 46.210	  1.004	  1.057	  0.003
6	  0.600	 54.543	  1.004	  1.057	  0.003
7	  0.600	 62.877	  1.004	  1.057	  0.003
8	  0.600	 71.210	  1.004	  1.057	  0.003
9	  0.600	 79.543	  1.004	  1.057	  0.003
10	  0.600	 87.877	  1.004	  1.057	  0.003
11	  0.600	 96.210	  1.004	  1.057	  0.003
0	  0.720	  4.676	  1.004	  1.152	  0.002
1	  0.720	 13.009	  1.004	  1.152	  0.002
2	  0.720	 21.342	  1.004	  1.152	  0.002
3	  0.720	 29.676	  1.004	  1.152	  0.002
4	  0.720	 38.009	  1.004	  1.152	  0.002
5	  0.720	 46.342	  1.004	  1.152	  0.002
6	  0.720	 54.676	  1.004	  1.152	  0.002
7	  0.720	 63.009	  1.004	  1.152	  0.002
8	  0.720	 71.342	  1.004	  1.152	  0.002
9	  0.720	 79.676	  1.004	  1.152	  0.002
10	  0.720	 88.009	  1.004	  1.152	  0.002
11	  0.720	 96.342	  1.004	  1.152	  0.002
0	  0.840	  4.818	  1.004	  1.227	  0.002
1	  0.840	 13.152	  1.004	  1.227	  0.002
2	  0.840	 21.485	  1.004	  1.227	  0.002
3	  0.840	 29.818	  1.004	  1.227	  0.002
4	  0.840	 38.152	  1.004	  1.227	  0.002
5	  0.840	 46.485	  1.004	  1.227	  0.002
6	  0.840	 54.818	  1.004	  1.227	  0.002
