# id	 time	 x	 v
0	   0.000	   0.270	   0.000
1	   0.000	   0.509	   0.000
2	   0.000	   0.848	   0.000
3	   0.000	   1.187	   0.000
4	   0.000	   1.526	   0.000
5	   0.000	   1.866	   0.000
6	   0.000	   2.205	   0.000
7	   0.000	   2.544	   0.000
8	   0.000	   2.883	   0.000
9	   0.000	   3.223	   0.000
10	   0.000	   3.562	   0.000
11	   0.000	   3.901	   0.000
12	   0.000	   4.240	   0.000
13	   0.000	   4.579	   0.000
14	   0.000	   4.919	   0.000
15	   0.000	   5.258	   0.000
16	   0.000	   5.597	   0.000
17	   0.000	   5.936	   0.000
18	   0.000	   6.275	   0.000
19	   0.000	   6.615	   0.000
20	   0.000	   6.954	   0.000
21	   0.000	   7.293	   0.000
22	   0.000	   7.632	   0.000
23	   0.000	   7.972	   0.000
24	   0.000	   8.311	   0.000
25	   0.000	   8.650	   0.000
26	   0.000	   8.989	   0.000
27	   0.000	   9.328	   0.000
28	   0.000	   9.668	   0.000
29	   0.000	  10.007	   0.000
30	   0.000	  10.346	   0.000
31	   0.000	  10.685	   0.000
32	   0.000	  11.025	   0.000
33	   0.000	  11.364	   0.000
34	   0.000	  11.703	   0.000
35	   0.000	  12.042	   0.000
36	   0.000	  12.381	   0.000
37	   0.000	  12.721	   0.000
38	   0.000	  13.060	   0.000
39	   0.000	  13.399	   0.000
40	   0.000	  13.738	   0.000
41	   0.000	  14.077	   0.000
42	   0.000	  14.417	   0.000
43	   0.000	  14.756	   0.000
44	   0.000	  15.095	   0.000
45	   0.000	  15.434	   0.000
46	   0.000	  15.774	   0.000
47	   0.000	  16.113	   0.000
48	   0.000	  16.452	   0.000
49	   0.000	  16.791	   0.000
50	   0.000	  17.130	   0.000
0	   0.125	   0.272	   0.043
1	   0.125	   0.513	   0.065
2	   0.125	   0.853	   0.065
3	   0.125	   1.192	   0.065
4	   0.125	   1.531	   0.065
5	   0.125	   1.870	   0.065
6	   0.125	   2.209	   0.065
7	   0.125	   2.549	   0.065
8	   0.125	   2.888	   0.065
9	   0.125	   3.227	   0.065
10	   0.125	   3.566	   0.065
11	   0.125	   3.905	   0.065
12	   0.125	   4.245	   0.065
13	   0.125	   4.584	   0.065
14	   0.125	   4.923	   0.065
15	   0.125	   5.262	   0.065
16	   0.125	   5.602	   0.065
17	   0.125	   5.941	   0.065
18	   0.125	   6.280	   0.065
19	   0.125	   6.619	   0.065
20	   0.125	   6.958	   0.065
21	   0.125	   7.298	   0.065
22	   0.125	   7.637	   0.065
23	   0.125	   7.976	   0.065
24	   0.125	   8.315	   0.065
25	   0.125	   8.654	   0.065
26	   0.125	   8.994	   0.065
27	   0.125	   9.333	   0.065
28	   0.125	   9.672	   0.065
29	   0.125	  10.011	   0.065
30	   0.125	  10.351	   0.065
31	   0.125	  10.690	   0.065
32	   0.125	  11.029	   0.065
33	   0.125	  11.368	   0.065
34	   0.125	  11.707	   0.065
35	   0.125	  12.047	   0.065
36	   0.125	  12.386	   0.065
37	   0.125	  12.725	   0.065
38	   0.125	  13.064	   0.065
39	   0.125	  13.403	   0.065
40	   0.125	  13.743	   0.065
41	   0.125	  14.082	   0.065
42	   0.125	  14.421	   0.065
43	   0.125	  14.760	   0.065
44	   0.125	  15.100	   0.065
45	   0.125	  15.439	   0.065
46	   0.125	  15.778	   0.065
47	   0.125	  16.117	   0.065
48	   0.125	  16.456	   0.065
49	   0.125	  16.796	   0.062
50	   0.125	  17.136	   0.089
0	   0.250	   0.280	   0.071
1	   0.250	   0.524	   0.104
2	   0.250	   0.863	   0.104
3	   0.250	   1.202	   0.104
4	   0.250	   1.542	   0.104
5	   0.250	   1.881	   0.104
6	   0.250	   2.220	   0.104
7	   0.250	   2.559	   0.104
8	   0.250	   2.898	   0.104
9	   0.250	   3.238	   0.104
10	   0.250	   3.577	   0.104
11	   0.250	   3.916	   0.104
12	   0.250	   4.255	   0.104
13	   0.250	   4.595	   0.104
14	   0.250	   4.934	   0.104
15	   0.250	   5.273	   0.104
16	   0.250	   5.612	   0.104
17	   0.250	   5.951	   0.104
18	   0.250	   6.291	   0.104
19	   0.250	   6.630	   0.104
20	   0.250	   6.969	   0.104
21	   0.250	   7.308	   0.104
22	   0.250	   7.647	   0.104
23	   0.250	   7.987	   0.104
24	   0.250	   8.326	   0.104
25	   0.250	   8.665	   0.104
26	   0.250	   9.004	   0.104
27	   0.250	   9.344	   0.104
28	   0.250	   9.683	   0.104
29	   0.250	  10.022	   0.104
30	   0.250	  10.361	   0.104
31	   0.250	  10.700	   0.104
32	   0.250	  11.040	   0.104
33	   0.250	  11.379	   0.104
34	   0.250	  11.718	   0.104
35	   0.250	  12.057	   0.104
36	   0.250	  12.397	   0.104
37	   0.250	  12.736	   0.104
38	   0.250	  13.075	   0.104
39	   0.250	  13.414	   0.104
40	   0.250	  13.753	   0.104
41	   0.250	  14.093	   0.104
42	   0.250	  14.432	   0.104
43	   0.250	  14.771	   0.104
44	   0.250	  15.110	   0.104
45	   0.250	  15.449	   0.104
46	   0.250	  15.789	   0.104
47	   0.250	  16.128	   0.104
48	   0.250	  16.467	   0.104
49	   0.250	  16.806	   0.099
50	   0.250	  17.151	   0.143
0	   0.375	   0.290	   0.093
1	   0.375	   0.539	   0.132
2	   0.375	   0.878	   0.132
3	   0.375	   1.217	   0.132
4	   0.375	   1.556	   0.132
5	   0.375	   1.896	   0.132
6	   0.375	   2.235	   0.132
7	   0.375	   2.574	   0.132
8	   0.375	   2.913	   0.132
9	   0.375	   3.253	   0.132
10	   0.375	   3.592	   0.132
11	   0.375	   3.931	   0.132
12	   0.375	   4.270	   0.132
13	   0.375	   4.609	   0.132
14	   0.375	   4.949	   0.132
15	   0.375	   5.288	   0.132
16	   0.375	   5.627	   0.132
17	   0.375	   5.966	   0.132
18	   0.375	   6.305	   0.132
19	   0.375	   6.645	   0.132
20	   0.375	   6.984	   0.132
21	   0.375	   7.323	   0.132
22	   0.375	   7.662	   0.132
23	   0.375	   8.002	   0.132
24	   0.375	   8.341	   0.132
25	   0.375	   8.680	   0.132
26	   0.375	   9.019	   0.132
27	   0.375	   9.358	   0.132
28	   0.375	   9.698	   0.132
29	   0.375	  10.037	   0.132
30	   0.375	  10.376	   0.132
31	   0.375	  10.715	   0.132
32	   0.375	  11.054	   0.132
33	   0.375	  11.394	   0.132
34	   0.375	  11.733	   0.132
35	   0.375	  12.072	   0.132
36	   0.375	  12.411	   0.132
37	   0.375	  12.751	   0.132
38	   0.375	  13.090	   0.132
39	   0.375	  13.429	   0.132
40	   0.375	  13.768	   0.132
41	   0.375	  14.107	   0.132
42	   0.375	  14.447	   0.132
43	   0.375	  14.786	   0.132
44	   0.375	  15.125	   0.132
45	   0.375	  15.464	   0.132
46	   0.375	  15.803	   0.132
47	   0.375	  16.143	   0.132
48	   0.375	  16.482	   0.133
49	   0.375	  16.820	   0.126
50	   0.375	  17.171	   0.179
0	   0.500	   0.303	   0.110
1	   0.500	   0.557	   0.153
2	   0.500	   0.896	   0.153
3	   0.500	   1.235	   0.153
4	   0.500	   1.574	   0.153
5	   0.500	   1.914	   0.153
6	   0.500	   2.253	   0.153
7	   0.500	   2.592	   0.153
8	   0.500	   2.931	   0.153
9	   0.500	   3.270	   0.153
10	   0.500	   3.610	   0.153
11	   0.500	   3.949	   0.153
12	   0.500	   4.288	   0.153
13	   0.500	   4.627	   0.153
14	   0.500	   4.966	   0.153
15	   0.500	   5.306	   0.153
16	   0.500	   5.645	   0.153
17	   0.500	   5.984	   0.153
18	   0.500	   6.323	   0.153
19	   0.500	   6.663	   0.153
20	   0.500	   7.002	   0.153
21	   0.500	   7.341	   0.153
22	   0.500	   7.680	   0.153
23	   0.500	   8.019	   0.153
24	   0.500	   8.359	   0.153
25	   0.500	   8.698	   0.153
26	   0.500	   9.037	   0.153
27	   0.500	   9.376	   0.153
28	   0.500	   9.715	   0.153
29	   0.500	  10.055	   0.153
30	   0.500	  10.394	   0.153
31	   0.500	  10.733	   0.153
32	   0.500	  11.072	   0.153
33	   0.500	  11.412	   0.153
34	   0.500	  11.751	   0.153
35	   0.500	  12.090	   0.153
36	   0.500	  12.429	   0.153
37	   0.500	  12.768	   0.153
38	   0.500	  13.108	   0.153
39	   0.500	  13.447	   0.153
40	   0.500	  13.786	   0.153
41	   0.500	  14.125	   0.153
42	   0.500	  14.464	   0.153
43	   0.500	  14.804	   0.153
44	   0.500	  15.143	   0.153
45	   0.500	  15.482	   0.153
46	   0.500	  15.821	   0.153
47	   0.500	  16.161	   0.153
48	   0.500	  16.500	   0.154
49	   0.500	  16.837	   0.146
50	   0.500	  17.195	   0.204
0	   0.625	   0.317	   0.124
1	   0.625	   0.577	   0.170
2	   0.625	   0.916	   0.170
3	   0.625	   1.255	   0.170
4	   0.625	   1.595	   0.170
5	   0.625	   1.934	   0.170
6	   0.625	   2.273	   0.170
7	   0.625	   2.612	   0.170
8	   0.625	   2.951	   0.170
9	   0.625	   3.291	   0.170
10	   0.625	   3.630	   0.170
11	   0.625	   3.969	   0.170
12	   0.625	   4.308	   0.170
13	   0.625	   4.647	   0.170
14	   0.625	   4.987	   0.170
15	   0.625	   5.326	   0.170
16	   0.625	   5.665	   0.170
17	   0.625	   6.004	   0.170
18	   0.625	   6.344	   0.170
19	   0.625	   6.683	   0.170
20	   0.625	   7.022	   0.170
21	   0.625	   7.361	   0.170
22	   0.625	   7.700	   0.170
23	   0.625	   8.040	   0.170
24	   0.625	   8.379	   0.170
25	   0.625	   8.718	   0.170
26	   0.625	   9.057	   0.170
27	   0.625	   9.396	   0.170
28	   0.625	   9.736	   0.170
29	   0.625	  10.075	   0.170
30	   0.625	  10.414	   0.170
31	   0.625	  10.753	   0.170
32	   0.625	  11.093	   0.170
