# id	 time	 x	 y	 vx	 vy
0	  0.000	  3.846	  1.000	  0.010	  0.010
1	  0.000	 11.538	  1.000	  0.010	  0.010
2	  0.000	 19.231	  1.000	  0.010	  0.010
3	  0.000	 26.923	  1.000	  0.010	  0.010
4	  0.000	 34.615	  1.000	  0.010	  0.010
5	  0.000	 42.308	  1.000	  0.010	  0.010
6	  0.000	 50.000	  1.000	  0.010	  0.010
7	  0.000	 57.692	  1.000	  0.010	  0.010
8	  0.000	 65.385	  1.000	  0.010	  0.010
9	  0.000	 73.077	  1.000	  0.010	  0.010
10	  0.000	 80.769	  1.000	  0.010	  0.010
11	  0.000	 88.462	  1.000	  0.010	  0.010
12	  0.000	 96.154	  1.000	  0.010	  0.010
0	  0.120	  3.866	  1.001	  0.331	  0.008
1	  0.120	 11.558	  1.001	  0.331	  0.008
2	  0.120	 19.250	  1.001	  0.331	  0.008
3	  0.120	 26.943	  1.001	  0.331	  0.008
4	  0.120	 34.635	  1.001	  0.331	  0.008
5	  0.120	 42.327	  1.001	  0.331	  0.008
6	  0.120	 50.020	  1.001	  0.331	  0.008
7	  0.120	 57.712	  1.001	  0.331	  0.008
8	  0.120	 65.404	  1.001	  0.331	  0.008
9	  0.120	 73.097	  1.001	  0.331	  0.008
10	  0.120	 80.789	  1.001	  0.331	  0.008
11	  0.120	 88.481	  1.001	  0.331	  0.008
12	  0.120	 96.173	  1.001	  0.331	  0.008
0	  0.240	  3.920	  1.002	  0.582	  0.006
1	  0.240	 11.612	  1.002	  0.582	  0.006
2	  0.240	 19.305	  1.002	  0.582	  0.006
3	  0.240	 26.997	  1.002	  0.582	  0.006
4	  0.240	 34.689	  1.002	  0.582	  0.006
5	  0.240	 42.381	  1.002	  0.582	  0.006
6	  0.240	 50.074	  1.002	  0.582	  0.006
7	  0.240	 57.766	  1.002	  0.582	  0.006
8	  0.240	 65.458	  1.002	  0.582	  0.006
9	  0.240	 73.151	  1.002	  0.582	  0.006
10	  0.240	 80.843	  1.002	  0.582	  0.006
11	  0.240	 88.535	  1.002	  0.582	  0.006
12	  0.240	 96.228	  1.002	  0.582	  0.006
0	  0.360	  4.001	  1.003	  0.780	  0.005
1	  0.360	 11.693	  1.003	  0.780	  0.005
2	  0.360	 19.386	  1.003	  0.780	  0.005
3	  0.360	 27.078	  1.003	  0.780	  0.005
4	  0.360	 34.770	  1.003	  0.780	  0.005
5	  0.360	 42.463	  1.003	  0.780	  0.005
6	  0.360	 50.155	  1.003	  0.780	  0.005
7	  0.360	 57.847	  1.003	  0.780	  0.005
8	  0.360	 65.540	  1.003	  0.780	  0.005
9	  0.360	 73.232	  1.003	  0.780	  0.005
10	  0.360	 80.924	  1.003	  0.780	  0.005
11	  0.360	 88.617	  1.003	  0.780	  0.005
12	  0.360	 96.309	  1.003	  0.780	  0.005
0	  0.480	  4.104	  1.003	  0.935	  0.004
1	  0.480	 11.796	  1.003	  0.935	  0.004
2	  0.480	 19.488	  1.003	  0.935	  0.004
3	  0.480	 27.181	  1.003	  0.935	  0.004
4	  0.480	 34.873	  1.003	  0.935	  0.004
5	  0.480	 42.565	  1.003	  0.935	  0.004
6	  0.480	 50.257	  1.003	  0.935	  0.004
7	  0.480	 57.950	  1.003	  0.935	  0.004
8	  0.480	 65.642	  1.003	  0.935	  0.004
9	  0.480	 73.334	  1.003	  0.935	  0.004
10	  0.480	 81.027	  1.003	  0.935	  0.004
11	  0.480	 88.719	  1.003	  0.935	  0.004
12	  0.480	 96.411	  1.003	  0.935	  0.004
0	  0.600	  4.223	  1.004	  1.057	  0.003
1	  0.600	 11.915	  1.004	  1.057	  0.003
2	  0.600	 19.607	  1.004	  1.057	  0.003
3	  0.600	 27.300	  1.004	  1.057	  0.003
4	  0.600	 34.992	  1.004	  1.057	  0.003
5	  0.600	 42.684	  1.004	  1.057	  0.003
6	  0.600	 50.377	  1.004	  1.057	  0.003
7	  0.600	 58.069	  1.004	  1.057	  0.003
8	  0.600	 65.761	  1.004	  1.057	  0.003
9	  0.600	 73.454	  1.004	  1.057	  0.003
10	  0.600	 81.146	  1.004	  1.057	  0.003
11	  0.600	 88.838	  1.004	  1.057	  0.003
12	  0.600	 96.531	  1.004	  1.057	  0.003
0	  0.720	  4.355	  1.004	  1.152	  0.002
1	  0.720	 12.047	  1.004	  1.152	  0.002
2	  0.720	 19.740	  1.004	  1.152	  0.002
3	  0.720	 27.432	  1.004	  1.152	  0.002
4	  0.720	 35.124	  1.004	  1.152	  0.002
5	  0.720	 42.817	  1.004	  1.152	  0.002
6	  0.720	 50.509	  1.004	  1.152	  0.002
7	  0.720	 58.201	  1.004	  1.152	  0.002
8	  0.720	 65.894	  1.004	  1.152	  0.002
9	  0.720	 73.586	  1.004	  1.152	  0.002
10	  0.720	 81.278	  1.004	  1.152	  0.002
11	  0.720	 88.970	  1.004	  1.152	  0.002
