# id	 time	 x	 y	 vx	 vy
0	  0.000	  1.923	  1.000	  0.010	  0.010
1	  0.000	  5.769	  1.000	  0.010	  0.010
2	  0.000	  9.615	  1.000	  0.010	  0.010
3	  0.000	 13.462	  1.000	  0.010	  0.010
4	  0.000	 17.308	  1.000	  0.010	  0.010
5	  0.000	 21.154	  1.000	  0.010	  0.010
6	  0.000	 25.000	  1.000	  0.010	  0.010
7	  0.000	 28.846	  1.000	  0.010	  0.010
8	  0.000	 32.692	  1.000	  0.010	  0.010
9	  0.000	 36.538	  1.000	  0.010	  0.010
10	  0.000	 40.385	  1.000	  0.010	  0.010
11	  0.000	 44.231	  1.000	  0.010	  0.010
12	  0.000	 48.077	  1.000	  0.010	  0.010
13	  0.000	 51.923	  1.000	  0.010	  0.010
14	  0.000	 55.769	  1.000	  0.010	  0.010
15	  0.000	 59.615	  1.000	  0.010	  0.010
16	  0.000	 63.462	  1.000	  0.010	  0.010
17	  0.000	 67.308	  1.000	  0.010	  0.010
18	  0.000	 71.154	  1.000	  0.010	  0.010
19	  0.000	 75.000	  1.000	  0.010	  0.010
20	  0.000	 78.846	  1.000	  0.010	  0.010
21	  0.000	 82.692	  1.000	  0.010	  0.010
22	  0.000	 86.538	  1.000	  0.010	  0.010
23	  0.000	 90.385	  1.000	  0.010	  0.010
24	  0.000	 94.231	  1.000	  0.010	  0.010
25	  0.000	 98.077	  1.000	  0.010	  0.010
0	  0.120	  1.943	  1.001	  0.331	  0.008
1	  0.120	  5.789	  1.001	  0.331	  0.008
2	  0.120	  9.635	  1.001	  0.331	  0.008
3	  0.120	 13.481	  1.001	  0.331	  0.008
4	  0.120	 17.327	  1.001	  0.331	  0.008
5	  0.120	 21.173	  1.001	  0.331	  0.008
6	  0.120	 25.020	  1.001	  0.331	  0.008
7	  0.120	 28.866	  1.001	  0.331	  0.008
8	  0.120	 32.712	  1.001	  0.331	  0.008
9	  0.120	 36.558	  1.001	  0.331	  0.008
10	  0.120	 40.404	  1.001	  0.331	  0.008
11	  0.120	 44.250	  1.001	  0.331	  0.008
12	  0.120	 48.097	  1.001	  0.331	  0.008
13	  0.120	 51.943	  1.001	  0.331	  0.008
14	  0.120	 55.789	  1.001	  0.331	  0.008
15	  0.120	 59.635	  1.001	  0.331	  0.008
16	  0.120	 63.481	  1.001	  0.331	  0.008
17	  0.120	 67.327	  1.001	  0.331	  0.008
18	  0.120	 71.173	  1.001	  0.331	  0.008
19	  0.120	 75.020	  1.001	  0.331	  0.008
20	  0.120	 78.866	  1.001	  0.331	  0.008
21	  0.120	 82.712	  1.001	  0.331	  0.008
22	  0.120	 86.558	  1.001	  0.331	  0.008
23	  0.120	 90.404	  1.001	  0.331	  0.008
24	  0.120	 94.250	  1.001	  0.331	  0.008
25	  0.120	 98.097	  1.001	  0.331	  0.008
0	  0.240	  1.997	  1.002	  0.582	  0.006
1	  0.240	  5.843	  1.002	  0.582	  0.006
2	  0.240	  9.689	  1.002	  0.582	  0.006
3	  0.240	 13.535	  1.002	  0.582	  0.006
4	  0.240	 17.381	  1.002	  0.582	  0.006
5	  0.240	 21.228	  1.002	  0.582	  0.006
6	  0.240	 25.074	  1.002	  0.582	  0.006
7	  0.240	 28.920	  1.002	  0.582	  0.006
8	  0.240	 32.766	  1.002	  0.582	  0.006
9	  0.240	 36.612	  1.002	  0.582	  0.006
10	  0.240	 40.458	  1.002	  0.582	  0.006
11	  0.240	 44.305	  1.002	  0.582	  0.006
12	  0.240	 48.151	  1.002	  0.582	  0.006
13	  0.240	 51.997	  1.002	  0.582	  0.006
14	  0.240	 55.843	  1.002	  0.582	  0.006
15	  0.240	 59.689	  1.002	  0.582	  0.006
16	  0.240	 63.535	  1.002	  0.582	  0.006
17	  0.240	 67.381	  1.002	  0.582	  0.006
18	  0.240	 71.228	  1.002	  0.582	  0.006
19	  0.240	 75.074	  1.002	  0.582	  0.006
20	  0.240	 78.920	  1.002	  0.582	  0.006
21	  0.240	 82.766	  1.002	  0.582	  0.006
22	  0.240	 86.612	  1.002	  0.582	  0.006
23	  0.240	 90.458	  1.002	  0.582	  0.006
24	  0.240	 94.305	  1.002	  0.582	  0.006
25	  0.240	 98.151	  1.002	  0.582	  0.006
0	  0.360	  2.078	  1.003	  0.780	  0.005
1	  0.360	  5.924	  1.003	  0.780	  0.005
2	  0.360	  9.770	  1.003	  0.780	  0.005
3	  0.360	 13.617	  1.003	  0.780	  0.005
4	  0.360	 17.463	  1.003	  0.780	  0.005
5	  0.360	 21.309	  1.003	  0.780	  0.005
6	  0.360	 25.155	  1.003	  0.780	  0.005
7	  0.360	 29.001	  1.003	  0.780	  0.005
8	  0.360	 32.847	  1.003	  0.780	  0.005
9	  0.360	 36.693	  1.003	  0.780	  0.005
10	  0.360	 40.540	  1.003	  0.780	  0.005
11	  0.360	 44.386	  1.003	  0.780	  0.005
12	  0.360	 48.232	  1.003	  0.780	  0.005
13	  0.360	 52.078	  1.003	  0.780	  0.005
14	  0.360	 55.924	  1.003	  0.780	  0.005
15	  0.360	 59.770	  1.003	  0.780	  0.005
16	  0.360	 63.617	  1.003	  0.780	  0.005
17	  0.360	 67.463	  1.003	  0.780	  0.005
18	  0.360	 71.309	  1.003	  0.780	  0.005
19	  0.360	 75.155	  1.003	  0.780	  0.005
20	  0.360	 79.001	  1.003	  0.780	  0.005
21	  0.360	 82.847	  1.003	  0.780	  0.005
22	  0.360	 86.693	  1.003	  0.780	  0.005
23	  0.360	 90.540	  1.003	  0.780	  0.005
24	  0.360	 94.386	  1.003	  0.780	  0.005
25	  0.360	 98.232	  1.003	  0.780	  0.005
0	  0.480	  2.181	  1.003	  0.935	  0.004
1	  0.480	  6.027	  1.003	  0.935	  0.004
2	  0.480	  9.873	  1.003	  0.935	  0.004
3	  0.480	 13.719	  1.003	  0.935	  0.004
4	  0.480	 17.565	  1.003	  0.935	  0.004
5	  0.480	 21.411	  1.003	  0.935	  0.004
6	  0.480	 25.257	  1.003	  0.935	  0.004
7	  0.480	 29.104	  1.003	  0.935	  0.004
8	  0.480	 32.950	  1.003	  0.935	  0.004
9	  0.480	 36.796	  1.003	  0.935	  0.004
10	  0.480	 40.642	  1.003	  0.935	  0.004
11	  0.480	 44.488	  1.003	  0.935	  0.004
12	  0.480	 48.334	  1.003	  0.935	  0.004
13	  0.480	 52.181	  1.003	  0.935	  0.004
14	  0.480	 56.027	  1.003	  0.935	  0.004
15	  0.480	 59.873	  1.003	  0.935	  0.004
16	  0.480	 63.719	  1.003	  0.935	  0.004
17	  0.480	 67.565	  1.003	  0.935	  0.004
18	  0.480	 71.411	  1.003	  0.935	  0.004
19	  0.480	 75.257	  1.003	  0.935	  0.004
20	  0.480	 79.104	  1.003	  0.935	  0.004
21	  0.480	 82.950	  1.003	  0.935	  0.004
22	  0.480	 86.796	  1.003	  0.935	  0.004
23	  0.480	 90.642	  1.003	  0.935	  0.004
24	  0.480	 94.488	  1.003	  0.935	  0.004
25	  0.480	 98.334	  1.003	  0.935	  0.004
0	  0.600	  2.300	  1.004	  1.057	  0.003
1	  0.600	  6.146	  1.004	  1.057	  0.003
2	  0.600	  9.992	  1.004	  1.057	  0.003
3	  0.600	 13.838	  1.004	  1.057	  0.003
4	  0.600	 17.684	  1.004	  1.057	  0.003
5	  0.600	 21.531	  1.004	  1.057	  0.003
6	  0.600	 25.377	  1.004	  1.057	  0.003
7	  0.600	 29.223	  1.004	  1.057	  0.003
8	  0.600	 33.069	  1.004	  1.057	  0.003
9	  0.600	 36.915	  1.004	  1.057	  0.003
10	  0.600	 40.761	  1.004	  1.057	  0.003
11	  0.600	 44.607	  1.004	  1.057	  0.003
12	  0.600	 48.454	  1.004	  1.057	  0.003
13	  0.600	 52.300	  1.004	  1.057	  0.003
14	  0.600	 56.146	  1.004	  1.057	  0.003
15	  0.600	 59.992	  1.004	  1.057	  0.003
16	  0.600	 63.838	  1.004	  1.057	  0.003
17	  0.600	 67.684	  1.004	  1.057	  0.003
18	  0.600	 71.531	  1.004	  1.057	  0.003
19	  0.600	 75.377	  1.004	  1.057	  0.003
20	  0.600	 79.223	  1.004	  1.057	  0.003
21	  0.600	 83.069	  1.004	  1.057	  0.003
22	  0.600	 86.915	  1.004	  1.057	  0.003
23	  0.600	 90.761	  1.004	  1.057	  0.003
24	  0.600	 94.607	  1.004	  1.057	  0.003
25	  0.600	 98.454	  1.004	  1.057	  0.003
0	  0.720	  2.432	  1.004	  1.152	  0.002
1	  0.720	  6.278	  1.004	  1.152	  0.002
2	  0.720	 10.124	  1.004	  1.152	  0.002
3	  0.720	 13.970	  1.004	  1.152	  0.002
4	  0.720	 17.817	  1.004	  1.152	  0.002
5	  0.720	 21.663	  1.004	  1.152	  0.002
6	  0.720	 25.509	  1.004	  1.152	  0.002
7	  0.720	 29.355	  1.004	  1.152	  0.002
8	  0.720	 33.201	  1.004	  1.152	  0.002
9	  0.720	 37.047	  1.004	  1.152	  0.002
10	  0.720	 40.894	  1.004	  1.152	  0.002
11	  0.720	 44.740	  1.004	  1.152	  0.002
12	  0.720	 48.586	  1.004	  1.152	  0.002
