# id	 time	 x	 y	 vx	 vy
0	  0.000	  4.545	  1.000	  0.010	  0.010
1	  0.000	 13.636	  1.000	  0.010	  0.010
2	  0.000	 22.727	  1.000	  0.010	  0.010
3	  0.000	 31.818	  1.000	  0.010	  0.010
4	  0.000	 40.909	  1.000	  0.010	  0.010
5	  0.000	 50.000	  1.000	  0.010	  0.010
6	  0.000	 59.091	  1.000	  0.010	  0.010
7	  0.000	 68.182	  1.000	  0.010	  0.010
8	  0.000	 77.273	  1.000	  0.010	  0.010
9	  0.000	 86.364	  1.000	  0.010	  0.010
10	  0.000	 95.455	  1.000	  0.010	  0.010
0	  0.120	  4.565	  1.001	  0.331	  0.008
1	  0.120	 13.656	  1.001	  0.331	  0.008
2	  0.120	 22.747	  1.001	  0.331	  0.008
3	  0.120	 31.838	  1.001	  0.331	  0.008
4	  0.120	 40.929	  1.001	  0.331	  0.008
5	  0.120	 50.020	  1.001	  0.331	  0.008
6	  0.120	 59.111	  1.001	  0.331	  0.008
7	  0.120	 68.201	  1.001	  0.331	  0.008
8	  0.120	 77.292	  1.001	  0.331	  0.008
9	  0.120	 86.383	  1.001	  0.331	  0.008
10	  0.120	 95.474	  1.001	  0.331	  0.008
0	  0.240	  4.619	  1.002	  0.582	  0.006
1	  0.240	 13.710	  1.002	  0.582	  0.006
2	  0.240	 22.801	  1.002	  0.582	  0.006
3	  0.240	 31.892	  1.002	  0.582	  0.006
4	  0.240	 40.983	  1.002	  0.582	  0.006
5	  0.240	 50.074	  1.002	  0.582	  0.006
6	  0.240	 59.165	  1.002	  0.582	  0.006
7	  0.240	 68.256	  1.002	  0.582	  0.006
8	  0.240	 77.346	  1.002	  0.582	  0.006
9	  0.240	 86.437	  1.002	  0.582	  0.006
10	  0.240	 95.528	  1.002	  0.582	  0.006
0	  0.360	  4.700	  1.003	  0.780	  0.005
1	  0.360	 13.791	  1.003	  0.780	  0.005
2	  0.360	 22.882	  1.003	  0.780	  0.005
3	  0.360	 31.973	  1.003	  0.780	  0.005
4	  0.360	 41.064	  1.003	  0.780	  0.005
5	  0.360	 50.155	  1.003	  0.780	  0.005
6	  0.360	 59.246	  1.003	  0.780	  0.005
7	  0.360	 68.337	  1.003	  0.780	  0.005
8	  0.360	 77.428	  1.003	  0.780	  0.005
9	  0.360	 86.519	  1.003	  0.780	  0.005
10	  0.360	 95.610	  1.003	  0.780	  0.005
0	  0.480	  4.803	  1.003	  0.935	  0.004
1	  0.480	 13.894	  1.003	  0.935	  0.004
2	  0.480	 22.985	  1.003	  0.935	  0.004
3	  0.480	 32.076	  1.003	  0.935	  0.004
4	  0.480	 41.167	  1.003	  0.935	  0.004
5	  0.480	 50.257	  1.003	  0.935	  0.004
6	  0.480	 59.348	  1.003	  0.935	  0.004
7	  0.480	 68.439	  1.003	  0.935	  0.004
8	  0.480	 77.530	  1.003	  0.935	  0.004
9	  0.480	 86.621	  1.003	  0.935	  0.004
10	  0.480	 95.712	  1.003	  0.935	  0.004
0	  0.600	  4.922	  1.004	  1.057	  0.003
1	  0.600	 14.013	  1.004	  1.057	  0.003
2	  0.600	 23.104	  1.004	  1.057	  0.003
3	  0.600	 32.195	  1.004	  1.057	  0.003
4	  0.600	 41.286	  1.004	  1.057	  0.003
5	  0.600	 50.377	  1.004	  1.057	  0.003
6	  0.600	 59.468	  1.004	  1.057	  0.003
7	  0.600	 68.558	  1.004	  1.057	  0.003
8	  0.600	 77.649	  1.004	  1.057	  0.003
9	  0.600	 86.740	  1.004	  1.057	  0.003
10	  0.600	 95.831	  1.004	  1.057	  0.003
0	  0.720	  5.054	  1.004	  1.152	  0.002
1	  0.720	 14.145	  1.004	  1.152	  0.002
2	  0.720	 23.236	  1.004	  1.152	  0.002
3	  0.720	 32.327	  1.004	  1.152	  0.002
4	  0.720	 41.418	  1.004	  1.152	  0.002
5	  0.720	 50.509	  1.004	  1.152	  0.002
6	  0.720	 59.600	  1.004	  1.152	  0.002
7	  0.720	 68.691	  1.004	  1.152	  0.002
8	  0.720	 77.782	  1.004	  1.152	  0.002
9	  0.720	 86.873	  1.004	  1.152	  0.002
10	  0.720	 95.963	  1.004	  1.152	  0.002
0	  0.840	  5.197	  1.004	  1.227	  0.002
1	  0.840	 14.288	  1.004	  1.227	  0.002
2	  0.840	 23.379	  1.004	  1.227	  0.002
3	  0.840	 32.470	  1.004	  1.227	  0.002
4	  0.840	 41.561	  1.004	  1.227	  0.002
5	  0.840	 50.652	  1.004	  1.227	  0.002
6	  0.840	 59.742	  1.004	  1.227	  0.002
7	  0.840	 68.833	  1.004	  1.227	  0.002
8	  0.840	 77.924	  1.004	  1.227	  0.002
9	  0.840	 87.015	  1.004	  1.227	  0.002
10	  0.840	 96.106	  1.004	  1.227	  0.002
0	  0.960	  5.348	  1.004	  1.286	  0.001
1	  0.960	 14.438	  1.004	  1.286	  0.001
2	  0.960	 23.529	  1.004	  1.286	  0.001
3	  0.960	 32.620	  1.004	  1.286	  0.001
4	  0.960	 41.711	  1.004	  1.286	  0.001
5	  0.960	 50.802	  1.004	  1.286	  0.001
6	  0.960	 59.893	  1.004	  1.286	  0.001
7	  0.960	 68.984	  1.004	  1.286	  0.001
8	  0.960	 78.075	  1.004	  1.286	  0.001
9	  0.960	 87.166	  1.004	  1.286	  0.001
10	  0.960	 96.257	  1.004	  1.286	  0.001
0	  1.080	  5.505	  1.004	  1.332	  0.001
1	  1.080	 14.595	  1.004	  1.332	  0.001
2	  1.080	 23.686	  1.004	  1.332	  0.001
3	  1.080	 32.777	  1.004	  1.332	  0.001
4	  1.080	 41.868	  1.004	  1.332	  0.001
5	  1.080	 50.959	  1.004	  1.332	  0.001
6	  1.080	 60.050	  1.004	  1.332	  0.001
7	  1.080	 69.141	  1.004	  1.332	  0.001
8	  1.080	 78.232	  1.004	  1.332	  0.001
9	  1.080	 87.323	  1.004	  1.332	  0.001
10	  1.080	 96.414	  1.004	  1.332	  0.001
0	  1.200	  5.666	  1.005	  1.368	  0.001
1	  1.200	 14.757	  1.005	  1.368	  0.001
2	  1.200	 23.848	  1.005	  1.368	  0.001
3	  1.200	 32.939	  1.005	  1.368	  0.001
4	  1.200	 42.030	  1.005	  1.368	  0.001
5	  1.200	 51.121	  1.005	  1.368	  0.001
6	  1.200	 60.212	  1.005	  1.368	  0.001
7	  1.200	 69.303	  1.005	  1.368	  0.001
8	  1.200	 78.394	  1.005	  1.368	  0.001
9	  1.200	 87.485	  1.005	  1.368	  0.001
10	  1.200	 96.576	  1.005	  1.368	  0.001
0	  1.320	  5.832	  1.005	  1.396	  0.001
1	  1.320	 14.923	  1.005	  1.396	  0.001
2	  1.320	 24.014	  1.005	  1.396	  0.001
3	  1.320	 33.105	  1.005	  1.396	  0.001
4	  1.320	 42.196	  1.005	  1.396	  0.001
5	  1.320	 51.287	  1.005	  1.396	  0.001
6	  1.320	 60.378	  1.005	  1.396	  0.001
7	  1.320	 69.469	  1.005	  1.396	  0.001
8	  1.320	 78.559	  1.005	  1.396	  0.001
9	  1.320	 87.650	  1.005	  1.396	  0.001
10	  1.320	 96.741	  1.005	  1.396	  0.001
0	  1.440	  6.001	  1.005	  1.419	  0.001
1	  1.440	 15.092	  1.005	  1.419	  0.001
2	  1.440	 24.183	  1.005	  1.419	  0.001
3	  1.440	 33.274	  1.005	  1.419	  0.001
4	  1.440	 42.365	  1.005	  1.419	  0.001
5	  1.440	 51.456	  1.005	  1.419	  0.001
6	  1.440	 60.547	  1.005	  1.419	  0.001
7	  1.440	 69.637	  1.005	  1.419	  0.001
8	  1.440	 78.728	  1.005	  1.419	  0.001
9	  1.440	 87.819	  1.005	  1.419	  0.001
10	  1.440	 96.910	  1.005	  1.419	  0.001
0	  1.560	  6.172	  1.005	  1.436	  0.000
1	  1.560	 15.263	  1.005	  1.436	  0.000
2	  1.560	 24.354	  1.005	  1.436	  0.000
3	  1.560	 33.445	  1.005	  1.436	  0.000
4	  1.560	 42.536	  1.005	  1.436	  0.000
5	  1.560	 51.627	  1.005	  1.436	  0.000
6	  1.560	 60.718	  1.005	  1.436	  0.000
7	  1.560	 69.809	  1.005	  1.436	  0.000
8	  1.560	 78.900	  1.005	  1.436	  0.000
9	  1.560	 87.991	  1.005	  1.436	  0.000
10	  1.560	 97.081	  1.005	  1.436	  0.000
0	  1.680	  6.345	  1.005	  1.450	  0.000
1	  1.680	 15.436	  1.005	  1.450	  0.000
2	  1.680	 24.527	  1.005	  1.450	  0.000
3	  1.680	 33.618	  1.005	  1.450	  0.000
4	  1.680	 42.709	  1.005	  1.450	  0.000
5	  1.680	 51.800	  1.005	  1.450	  0.000
6	  1.680	 60.891	  1.005	  1.450	  0.000
7	  1.680	 69.982	  1.005	  1.450	  0.000
8	  1.680	 79.073	  1.005	  1.450	  0.000
9	  1.680	 88.164	  1.005	  1.450	  0.000
10	  1.680	 97.255	  1.005	  1.450	  0.000
0	  1.800	  6.520	  1.005	  1.461	  0.000
