# id	 time	 x	 y	 vx	 vy
0	  0.000	  0.667	  1.000	  0.010	  0.010
1	  0.000	  2.000	  1.000	  0.010	  0.010
2	  0.000	  3.333	  1.000	  0.010	  0.010
3	  0.000	  4.667	  1.000	  0.010	  0.010
4	  0.000	  6.000	  1.000	  0.010	  0.010
5	  0.000	  7.333	  1.000	  0.010	  0.010
6	  0.000	  8.667	  1.000	  0.010	  0.010
7	  0.000	 10.000	  1.000	  0.010	  0.010
8	  0.000	 11.333	  1.000	  0.010	  0.010
9	  0.000	 12.667	  1.000	  0.010	  0.010
10	  0.000	 14.000	  1.000	  0.010	  0.010
11	  0.000	 15.333	  1.000	  0.010	  0.010
12	  0.000	 16.667	  1.000	  0.010	  0.010
13	  0.000	 18.000	  1.000	  0.010	  0.010
14	  0.000	 19.333	  1.000	  0.010	  0.010
15	  0.000	 20.667	  1.000	  0.010	  0.010
16	  0.000	 22.000	  1.000	  0.010	  0.010
17	  0.000	 23.333	  1.000	  0.010	  0.010
18	  0.000	 24.667	  1.000	  0.010	  0.010
19	  0.000	 26.000	  1.000	  0.010	  0.010
20	  0.000	 27.333	  1.000	  0.010	  0.010
21	  0.000	 28.667	  1.000	  0.010	  0.010
22	  0.000	 30.000	  1.000	  0.010	  0.010
23	  0.000	 31.333	  1.000	  0.010	  0.010
24	  0.000	 32.667	  1.000	  0.010	  0.010
25	  0.000	 34.000	  1.000	  0.010	  0.010
26	  0.000	 35.333	  1.000	  0.010	  0.010
27	  0.000	 36.667	  1.000	  0.010	  0.010
28	  0.000	 38.000	  1.000	  0.010	  0.010
29	  0.000	 39.333	  1.000	  0.010	  0.010
30	  0.000	 40.667	  1.000	  0.010	  0.010
31	  0.000	 42.000	  1.000	  0.010	  0.010
32	  0.000	 43.333	  1.000	  0.010	  0.010
33	  0.000	 44.667	  1.000	  0.010	  0.010
34	  0.000	 46.000	  1.000	  0.010	  0.010
35	  0.000	 47.333	  1.000	  0.010	  0.010
36	  0.000	 48.667	  1.000	  0.010	  0.010
37	  0.000	 50.000	  1.000	  0.010	  0.010
38	  0.000	 51.333	  1.000	  0.010	  0.010
39	  0.000	 52.667	  1.000	  0.010	  0.010
40	  0.000	 54.000	  1.000	  0.010	  0.010
41	  0.000	 55.333	  1.000	  0.010	  0.010
42	  0.000	 56.667	  1.000	  0.010	  0.010
43	  0.000	 58.000	  1.000	  0.010	  0.010
44	  0.000	 59.333	  1.000	  0.010	  0.010
45	  0.000	 60.667	  1.000	  0.010	  0.010
46	  0.000	 62.000	  1.000	  0.010	  0.010
47	  0.000	 63.333	  1.000	  0.010	  0.010
48	  0.000	 64.667	  1.000	  0.010	  0.010
49	  0.000	 66.000	  1.000	  0.010	  0.010
50	  0.000	 67.333	  1.000	  0.010	  0.010
51	  0.000	 68.667	  1.000	  0.010	  0.010
52	  0.000	 70.000	  1.000	  0.010	  0.010
53	  0.000	 71.333	  1.000	  0.010	  0.010
54	  0.000	 72.667	  1.000	  0.010	  0.010
55	  0.000	 74.000	  1.000	  0.010	  0.010
56	  0.000	 75.333	  1.000	  0.010	  0.010
57	  0.000	 76.667	  1.000	  0.010	  0.010
58	  0.000	 78.000	  1.000	  0.010	  0.010
59	  0.000	 79.333	  1.000	  0.010	  0.010
60	  0.000	 80.667	  1.000	  0.010	  0.010
61	  0.000	 82.000	  1.000	  0.010	  0.010
62	  0.000	 83.333	  1.000	  0.010	  0.010
63	  0.000	 84.667	  1.000	  0.010	  0.010
64	  0.000	 86.000	  1.000	  0.010	  0.010
65	  0.000	 87.333	  1.000	  0.010	  0.010
66	  0.000	 88.667	  1.000	  0.010	  0.010
67	  0.000	 90.000	  1.000	  0.010	  0.010
68	  0.000	 91.333	  1.000	  0.010	  0.010
69	  0.000	 92.667	  1.000	  0.010	  0.010
70	  0.000	 94.000	  1.000	  0.010	  0.010
71	  0.000	 95.333	  1.000	  0.010	  0.010
72	  0.000	 96.667	  1.000	  0.010	  0.010
73	  0.000	 98.000	  1.000	  0.010	  0.010
74	  0.000	 99.333	  1.000	  0.010	  0.010
0	  0.120	  0.670	  1.001	 -0.015	  0.008
1	  0.120	  2.004	  1.001	 -0.015	  0.008
2	  0.120	  3.337	  1.001	 -0.015	  0.008
3	  0.120	  4.670	  1.001	 -0.015	  0.008
4	  0.120	  6.004	  1.001	 -0.015	  0.008
5	  0.120	  7.337	  1.001	 -0.015	  0.008
6	  0.120	  8.670	  1.001	 -0.015	  0.008
7	  0.120	 10.004	  1.001	 -0.015	  0.008
8	  0.120	 11.337	  1.001	 -0.015	  0.008
9	  0.120	 12.670	  1.001	 -0.015	  0.008
10	  0.120	 14.004	  1.001	 -0.015	  0.008
11	  0.120	 15.337	  1.001	 -0.015	  0.008
12	  0.120	 16.670	  1.001	 -0.015	  0.008
13	  0.120	 18.004	  1.001	 -0.015	  0.008
14	  0.120	 19.337	  1.001	 -0.015	  0.008
15	  0.120	 20.670	  1.001	 -0.015	  0.008
16	  0.120	 22.004	  1.001	 -0.015	  0.008
17	  0.120	 23.337	  1.001	 -0.015	  0.008
18	  0.120	 24.670	  1.001	 -0.015	  0.008
19	  0.120	 26.004	  1.001	 -0.015	  0.008
20	  0.120	 27.337	  1.001	 -0.015	  0.008
21	  0.120	 28.670	  1.001	 -0.015	  0.008
22	  0.120	 30.004	  1.001	 -0.015	  0.008
23	  0.120	 31.337	  1.001	 -0.015	  0.008
24	  0.120	 32.670	  1.001	 -0.015	  0.008
25	  0.120	 34.004	  1.001	 -0.015	  0.008
26	  0.120	 35.337	  1.001	 -0.015	  0.008
27	  0.120	 36.670	  1.001	 -0.015	  0.008
28	  0.120	 38.004	  1.001	 -0.015	  0.008
29	  0.120	 39.337	  1.001	 -0.015	  0.008
30	  0.120	 40.670	  1.001	 -0.015	  0.008
31	  0.120	 42.004	  1.001	 -0.015	  0.008
32	  0.120	 43.337	  1.001	 -0.015	  0.008
33	  0.120	 44.670	  1.001	 -0.015	  0.008
34	  0.120	 46.004	  1.001	 -0.015	  0.008
35	  0.120	 47.337	  1.001	 -0.015	  0.008
36	  0.120	 48.670	  1.001	 -0.015	  0.008
37	  0.120	 50.004	  1.001	 -0.015	  0.008
38	  0.120	 51.337	  1.001	 -0.015	  0.008
39	  0.120	 52.670	  1.001	 -0.015	  0.008
40	  0.120	 54.004	  1.001	 -0.015	  0.008
41	  0.120	 55.337	  1.001	 -0.015	  0.008
42	  0.120	 56.670	  1.001	 -0.015	  0.008
43	  0.120	 58.004	  1.001	 -0.015	  0.008
44	  0.120	 59.337	  1.001	 -0.015	  0.008
45	  0.120	 60.670	  1.001	 -0.015	  0.008
46	  0.120	 62.004	  1.001	 -0.015	  0.008
47	  0.120	 63.337	  1.001	 -0.015	  0.008
48	  0.120	 64.670	  1.001	 -0.015	  0.008
49	  0.120	 66.004	  1.001	 -0.015	  0.008
50	  0.120	 67.337	  1.001	 -0.015	  0.008
51	  0.120	 68.670	  1.001	 -0.015	  0.008
52	  0.120	 70.004	  1.001	 -0.015	  0.008
53	  0.120	 71.337	  1.001	 -0.015	  0.008
54	  0.120	 72.670	  1.001	 -0.015	  0.008
55	  0.120	 74.004	  1.001	 -0.015	  0.008
56	  0.120	 75.337	  1.001	 -0.015	  0.008
57	  0.120	 76.670	  1.001	 -0.015	  0.008
58	  0.120	 78.004	  1.001	 -0.015	  0.008
59	  0.120	 79.337	  1.001	 -0.015	  0.008
60	  0.120	 80.670	  1.001	 -0.015	  0.008
61	  0.120	 82.004	  1.001	 -0.015	  0.008
62	  0.120	 83.337	  1.001	 -0.015	  0.008
63	  0.120	 84.670	  1.001	 -0.015	  0.008
64	  0.120	 86.004	  1.001	 -0.015	  0.008
65	  0.120	 87.337	  1.001	 -0.015	  0.008
66	  0.120	 88.670	  1.001	 -0.015	  0.008
67	  0.120	 90.004	  1.001	 -0.015	  0.008
68	  0.120	 91.337	  1.001	 -0.015	  0.008
69	  0.120	 92.670	  1.001	 -0.015	  0.008
70	  0.120	 94.004	  1.001	 -0.015	  0.008
71	  0.120	 95.337	  1.001	 -0.015	  0.008
72	  0.120	 96.670	  1.001	 -0.015	  0.008
73	  0.120	 98.004	  1.001	 -0.015	  0.008
74	  0.120	 99.337	  1.001	 -0.015	  0.008
0	  0.240	  0.674	  1.002	  0.055	  0.006
1	  0.240	  2.007	  1.002	  0.055	  0.006
2	  0.240	  3.340	  1.002	  0.055	  0.006
3	  0.240	  4.674	  1.002	  0.055	  0.006
4	  0.240	  6.007	  1.002	  0.055	  0.006
5	  0.240	  7.340	  1.002	  0.055	  0.006
6	  0.240	  8.674	  1.002	  0.055	  0.006
7	  0.240	 10.007	  1.002	  0.055	  0.006
8	  0.240	 11.340	  1.002	  0.055	  0.006
9	  0.240	 12.674	  1.002	  0.055	  0.006
10	  0.240	 14.007	  1.002	  0.055	  0.006
11	  0.240	 15.340	  1.002	  0.055	  0.006
12	  0.240	 16.674	  1.002	  0.055	  0.006
13	  0.240	 18.007	  1.002	  0.055	  0.006
14	  0.240	 19.340	  1.002	  0.055	  0.006
15	  0.240	 20.674	  1.002	  0.055	  0.006
16	  0.240	 22.007	  1.002	  0.055	  0.006
17	  0.240	 23.340	  1.002	  0.055	  0.006
18	  0.240	 24.674	  1.002	  0.055	  0.006
19	  0.240	 26.007	  1.002	  0.055	  0.006
20	  0.240	 27.340	  1.002	  0.055	  0.006
21	  0.240	 28.674	  1.002	  0.055	  0.006
22	  0.240	 30.007	  1.002	  0.055	  0.006
23	  0.240	 31.340	  1.002	  0.055	  0.006
24	  0.240	 32.674	  1.002	  0.055	  0.006
25	  0.240	 34.007	  1.002	  0.055	  0.006
26	  0.240	 35.340	  1.002	  0.055	  0.006
27	  0.240	 36.674	  1.002	  0.055	  0.006
28	  0.240	 38.007	  1.002	  0.055	  0.006
29	  0.240	 39.340	  1.002	  0.055	  0.006
30	  0.240	 40.674	  1.002	  0.055	  0.006
31	  0.240	 42.007	  1.002	  0.055	  0.006
32	  0.240	 43.340	  1.002	  0.055	  0.006
33	  0.240	 44.674	  1.002	  0.055	  0.006
34	  0.240	 46.007	  1.002	  0.055	  0.006
35	  0.240	 47.340	  1.002	  0.055	  0.006
36	  0.240	 48.674	  1.002	  0.055	  0.006
37	  0.240	 50.007	  1.002	  0.055	  0.006
38	  0.240	 51.340	  1.002	  0.055	  0.006
39	  0.240	 52.674	  1.002	  0.055	  0.006
40	  0.240	 54.007	  1.002	  0.055	  0.006
41	  0.240	 55.340	  1.002	  0.055	  0.006
42	  0.240	 56.674	  1.002	  0.055	  0.006
43	  0.240	 58.007	  1.002	  0.055	  0.006
44	  0.240	 59.340	  1.002	  0.055	  0.006
45	  0.240	 60.674	  1.002	  0.055	  0.006
46	  0.240	 62.007	  1.002	  0.055	  0.006
47	  0.240	 63.340	  1.002	  0.055	  0.006
48	  0.240	 64.674	  1.002	  0.055	  0.006
49	  0.240	 66.007	  1.002	  0.055	  0.006
50	  0.240	 67.340	  1.002	  0.055	  0.006
51	  0.240	 68.674	  1.002	  0.055	  0.006
52	  0.240	 70.007	  1.002	  0.055	  0.006
53	  0.240	 71.340	  1.002	  0.055	  0.006
54	  0.240	 72.674	  1.002	  0.055	  0.006
55	  0.240	 74.007	  1.002	  0.055	  0.006
56	  0.240	 75.340	  1.002	  0.055	  0.006
57	  0.240	 76.674	  1.002	  0.055	  0.006
58	  0.240	 78.007	  1.002	  0.055	  0.006
59	  0.240	 79.340	  1.002	  0.055	  0.006
