# id	 time	 x	 y	 vx	 vy
0	  0.000	  0.633	  1.000	  0.010	  0.010
1	  0.000	  1.899	  1.000	  0.010	  0.010
2	  0.000	  3.165	  1.000	  0.010	  0.010
3	  0.000	  4.430	  1.000	  0.010	  0.010
4	  0.000	  5.696	  1.000	  0.010	  0.010
5	  0.000	  6.962	  1.000	  0.010	  0.010
6	  0.000	  8.228	  1.000	  0.010	  0.010
7	  0.000	  9.494	  1.000	  0.010	  0.010
8	  0.000	 10.759	  1.000	  0.010	  0.010
9	  0.000	 12.025	  1.000	  0.010	  0.010
10	  0.000	 13.291	  1.000	  0.010	  0.010
11	  0.000	 14.557	  1.000	  0.010	  0.010
12	  0.000	 15.823	  1.000	  0.010	  0.010
13	  0.000	 17.089	  1.000	  0.010	  0.010
14	  0.000	 18.354	  1.000	  0.010	  0.010
15	  0.000	 19.620	  1.000	  0.010	  0.010
16	  0.000	 20.886	  1.000	  0.010	  0.010
17	  0.000	 22.152	  1.000	  0.010	  0.010
18	  0.000	 23.418	  1.000	  0.010	  0.010
19	  0.000	 24.684	  1.000	  0.010	  0.010
20	  0.000	 25.949	  1.000	  0.010	  0.010
21	  0.000	 27.215	  1.000	  0.010	  0.010
22	  0.000	 28.481	  1.000	  0.010	  0.010
23	  0.000	 29.747	  1.000	  0.010	  0.010
24	  0.000	 31.013	  1.000	  0.010	  0.010
25	  0.000	 32.278	  1.000	  0.010	  0.010
26	  0.000	 33.544	  1.000	  0.010	  0.010
27	  0.000	 34.810	  1.000	  0.010	  0.010
28	  0.000	 36.076	  1.000	  0.010	  0.010
29	  0.000	 37.342	  1.000	  0.010	  0.010
30	  0.000	 38.608	  1.000	  0.010	  0.010
31	  0.000	 39.873	  1.000	  0.010	  0.010
32	  0.000	 41.139	  1.000	  0.010	  0.010
33	  0.000	 42.405	  1.000	  0.010	  0.010
34	  0.000	 43.671	  1.000	  0.010	  0.010
35	  0.000	 44.937	  1.000	  0.010	  0.010
36	  0.000	 46.203	  1.000	  0.010	  0.010
37	  0.000	 47.468	  1.000	  0.010	  0.010
38	  0.000	 48.734	  1.000	  0.010	  0.010
39	  0.000	 50.000	  1.000	  0.010	  0.010
40	  0.000	 51.266	  1.000	  0.010	  0.010
41	  0.000	 52.532	  1.000	  0.010	  0.010
42	  0.000	 53.797	  1.000	  0.010	  0.010
43	  0.000	 55.063	  1.000	  0.010	  0.010
44	  0.000	 56.329	  1.000	  0.010	  0.010
45	  0.000	 57.595	  1.000	  0.010	  0.010
46	  0.000	 58.861	  1.000	  0.010	  0.010
47	  0.000	 60.127	  1.000	  0.010	  0.010
48	  0.000	 61.392	  1.000	  0.010	  0.010
49	  0.000	 62.658	  1.000	  0.010	  0.010
50	  0.000	 63.924	  1.000	  0.010	  0.010
51	  0.000	 65.190	  1.000	  0.010	  0.010
52	  0.000	 66.456	  1.000	  0.010	  0.010
53	  0.000	 67.722	  1.000	  0.010	  0.010
54	  0.000	 68.987	  1.000	  0.010	  0.010
55	  0.000	 70.253	  1.000	  0.010	  0.010
56	  0.000	 71.519	  1.000	  0.010	  0.010
57	  0.000	 72.785	  1.000	  0.010	  0.010
58	  0.000	 74.051	  1.000	  0.010	  0.010
59	  0.000	 75.316	  1.000	  0.010	  0.010
60	  0.000	 76.582	  1.000	  0.010	  0.010
61	  0.000	 77.848	  1.000	  0.010	  0.010
62	  0.000	 79.114	  1.000	  0.010	  0.010
63	  0.000	 80.380	  1.000	  0.010	  0.010
64	  0.000	 81.646	  1.000	  0.010	  0.010
65	  0.000	 82.911	  1.000	  0.010	  0.010
66	  0.000	 84.177	  1.000	  0.010	  0.010
67	  0.000	 85.443	  1.000	  0.010	  0.010
68	  0.000	 86.709	  1.000	  0.010	  0.010
69	  0.000	 87.975	  1.000	  0.010	  0.010
70	  0.000	 89.241	  1.000	  0.010	  0.010
71	  0.000	 90.506	  1.000	  0.010	  0.010
72	  0.000	 91.772	  1.000	  0.010	  0.010
73	  0.000	 93.038	  1.000	  0.010	  0.010
74	  0.000	 94.304	  1.000	  0.010	  0.010
75	  0.000	 95.570	  1.000	  0.010	  0.010
76	  0.000	 96.835	  1.000	  0.010	  0.010
77	  0.000	 98.101	  1.000	  0.010	  0.010
78	  0.000	 99.367	  1.000	  0.010	  0.010
0	  0.120	  0.636	  1.001	 -0.075	  0.008
1	  0.120	  1.902	  1.001	 -0.075	  0.008
2	  0.120	  3.168	  1.001	 -0.075	  0.008
3	  0.120	  4.434	  1.001	 -0.075	  0.008
4	  0.120	  5.699	  1.001	 -0.075	  0.008
5	  0.120	  6.965	  1.001	 -0.075	  0.008
6	  0.120	  8.231	  1.001	 -0.075	  0.008
7	  0.120	  9.497	  1.001	 -0.075	  0.008
8	  0.120	 10.763	  1.001	 -0.075	  0.008
9	  0.120	 12.028	  1.001	 -0.075	  0.008
10	  0.120	 13.294	  1.001	 -0.075	  0.008
11	  0.120	 14.560	  1.001	 -0.075	  0.008
12	  0.120	 15.826	  1.001	 -0.075	  0.008
13	  0.120	 17.092	  1.001	 -0.075	  0.008
14	  0.120	 18.358	  1.001	 -0.075	  0.008
15	  0.120	 19.623	  1.001	 -0.075	  0.008
16	  0.120	 20.889	  1.001	 -0.075	  0.008
17	  0.120	 22.155	  1.001	 -0.075	  0.008
18	  0.120	 23.421	  1.001	 -0.075	  0.008
19	  0.120	 24.687	  1.001	 -0.075	  0.008
20	  0.120	 25.953	  1.001	 -0.075	  0.008
21	  0.120	 27.218	  1.001	 -0.075	  0.008
22	  0.120	 28.484	  1.001	 -0.075	  0.008
23	  0.120	 29.750	  1.001	 -0.075	  0.008
24	  0.120	 31.016	  1.001	 -0.075	  0.008
25	  0.120	 32.282	  1.001	 -0.075	  0.008
26	  0.120	 33.547	  1.001	 -0.075	  0.008
27	  0.120	 34.813	  1.001	 -0.075	  0.008
28	  0.120	 36.079	  1.001	 -0.075	  0.008
29	  0.120	 37.345	  1.001	 -0.075	  0.008
30	  0.120	 38.611	  1.001	 -0.075	  0.008
