# id	 time	 x	 y	 vx	 vy
0	  0.000	  3.333	  1.000	  0.010	  0.010
1	  0.000	 10.000	  1.000	  0.010	  0.010
2	  0.000	 16.667	  1.000	  0.010	  0.010
3	  0.000	 23.333	  1.000	  0.010	  0.010
4	  0.000	 30.000	  1.000	  0.010	  0.010
5	  0.000	 36.667	  1.000	  0.010	  0.010
6	  0.000	 43.333	  1.000	  0.010	  0.010
7	  0.000	 50.000	  1.000	  0.010	  0.010
8	  0.000	 56.667	  1.000	  0.010	  0.010
9	  0.000	 63.333	  1.000	  0.010	  0.010
10	  0.000	 70.000	  1.000	  0.010	  0.010
11	  0.000	 76.667	  1.000	  0.010	  0.010
12	  0.000	 83.333	  1.000	  0.010	  0.010
13	  0.000	 90.000	  1.000	  0.010	  0.010
14	  0.000	 96.667	  1.000	  0.010	  0.010
0	  0.120	  3.353	  1.001	  0.331	  0.008
1	  0.120	 10.020	  1.001	  0.331	  0.008
2	  0.120	 16.686	  1.001	  0.331	  0.008
3	  0.120	 23.353	  1.001	  0.331	  0.008
4	  0.120	 30.020	  1.001	  0.331	  0.008
5	  0.120	 36.686	  1.001	  0.331	  0.008
6	  0.120	 43.353	  1.001	  0.331	  0.008
7	  0.120	 50.020	  1.001	  0.331	  0.008
8	  0.120	 56.686	  1.001	  0.331	  0.008
9	  0.120	 63.353	  1.001	  0.331	  0.008
10	  0.120	 70.020	  1.001	  0.331	  0.008
11	  0.120	 76.686	  1.001	  0.331	  0.008
12	  0.120	 83.353	  1.001	  0.331	  0.008
13	  0.120	 90.020	  1.001	  0.331	  0.008
14	  0.120	 96.686	  1.001	  0.331	  0.008
0	  0.240	  3.407	  1.002	  0.582	  0.006
1	  0.240	 10.074	  1.002	  0.582	  0.006
2	  0.240	 16.740	  1.002	  0.582	  0.006
3	  0.240	 23.407	  1.002	  0.582	  0.006
4	  0.240	 30.074	  1.002	  0.582	  0.006
5	  0.240	 36.740	  1.002	  0.582	  0.006
6	  0.240	 43.407	  1.002	  0.582	  0.006
7	  0.240	 50.074	  1.002	  0.582	  0.006
8	  0.240	 56.740	  1.002	  0.582	  0.006
9	  0.240	 63.407	  1.002	  0.582	  0.006
10	  0.240	 70.074	  1.002	  0.582	  0.006
11	  0.240	 76.740	  1.002	  0.582	  0.006
12	  0.240	 83.407	  1.002	  0.582	  0.006
13	  0.240	 90.074	  1.002	  0.582	  0.006
14	  0.240	 96.740	  1.002	  0.582	  0.006
0	  0.360	  3.488	  1.003	  0.780	  0.005
1	  0.360	 10.155	  1.003	  0.780	  0.005
2	  0.360	 16.822	  1.003	  0.780	  0.005
3	  0.360	 23.488	  1.003	  0.780	  0.005
4	  0.360	 30.155	  1.003	  0.780	  0.005
5	  0.360	 36.822	  1.003	  0.780	  0.005
6	  0.360	 43.488	  1.003	  0.780	  0.005
7	  0.360	 50.155	  1.003	  0.780	  0.005
8	  0.360	 56.822	  1.003	  0.780	  0.005
9	  0.360	 63.488	  1.003	  0.780	  0.005
10	  0.360	 70.155	  1.003	  0.780	  0.005
11	  0.360	 76.822	  1.003	  0.780	  0.005
12	  0.360	 83.488	  1.003	  0.780	  0.005
13	  0.360	 90.155	  1.003	  0.780	  0.005
14	  0.360	 96.822	  1.003	  0.780	  0.005
0	  0.480	  3.591	  1.003	  0.935	  0.004
1	  0.480	 10.257	  1.003	  0.935	  0.004
2	  0.480	 16.924	  1.003	  0.935	  0.004
3	  0.480	 23.591	  1.003	  0.935	  0.004
4	  0.480	 30.257	  1.003	  0.935	  0.004
5	  0.480	 36.924	  1.003	  0.935	  0.004
6	  0.480	 43.591	  1.003	  0.935	  0.004
7	  0.480	 50.257	  1.003	  0.935	  0.004
8	  0.480	 56.924	  1.003	  0.935	  0.004
9	  0.480	 63.591	  1.003	  0.935	  0.004
10	  0.480	 70.257	  1.003	  0.935	  0.004
11	  0.480	 76.924	  1.003	  0.935	  0.004
12	  0.480	 83.591	  1.003	  0.935	  0.004
13	  0.480	 90.257	  1.003	  0.935	  0.004
14	  0.480	 96.924	  1.003	  0.935	  0.004
0	  0.600	  3.710	  1.004	  1.057	  0.003
1	  0.600	 10.377	  1.004	  1.057	  0.003
2	  0.600	 17.043	  1.004	  1.057	  0.003
3	  0.600	 23.710	  1.004	  1.057	  0.003
4	  0.600	 30.377	  1.004	  1.057	  0.003
5	  0.600	 37.043	  1.004	  1.057	  0.003
6	  0.600	 43.710	  1.004	  1.057	  0.003
7	  0.600	 50.377	  1.004	  1.057	  0.003
8	  0.600	 57.043	  1.004	  1.057	  0.003
9	  0.600	 63.710	  1.004	  1.057	  0.003
10	  0.600	 70.377	  1.004	  1.057	  0.003
11	  0.600	 77.043	  1.004	  1.057	  0.003
12	  0.600	 83.710	  1.004	  1.057	  0.003
13	  0.600	 90.377	  1.004	  1.057	  0.003
14	  0.600	 97.043	  1.004	  1.057	  0.003
0	  0.720	  3.842	  1.004	  1.152	  0.002
1	  0.720	 10.509	  1.004	  1.152	  0.002
2	  0.720	 17.176	  1.004	  1.152	  0.002
3	  0.720	 23.842	  1.004	  1.152	  0.002
4	  0.720	 30.509	  1.004	  1.152	  0.002
5	  0.720	 37.176	  1.004	  1.152	  0.002
6	  0.720	 43.842	  1.004	  1.152	  0.002
7	  0.720	 50.509	  1.004	  1.152	  0.002
8	  0.720	 57.176	  1.004	  1.152	  0.002
9	  0.720	 63.842	  1.004	  1.152	  0.002
10	  0.720	 70.509	  1.004	  1.152	  0.002
11	  0.720	 77.176	  1.004	  1.152	  0.002
12	  0.720	 83.842	  1.004	  1.152	  0.002
13	  0.720	 90.509	  1.004	  1.152	  0.002
14	  0.720	 97.176	  1.004	  1.152	  0.002
0	  0.840	  3.985	  1.004	  1.227	  0.002
1	  0.840	 10.652	  1.004	  1.227	  0.002
2	  0.840	 17.318	  1.004	  1.227	  0.002
3	  0.840	 23.985	  1.004	  1.227	  0.002
4	  0.840	 30.652	  1.004	  1.227	  0.002
5	  0.840	 37.318	  1.004	  1.227	  0.002
6	  0.840	 43.985	  1.004	  1.227	  0.002
7	  0.840	 50.652	  1.004	  1.227	  0.002
8	  0.840	 57.318	  1.004	  1.227	  0.002
9	  0.840	 63.985	  1.004	  1.227	  0.002
10	  0.840	 70.652	  1.004	  1.227	  0.002
11	  0.840	 77.318	  1.004	  1.227	  0.002
12	  0.840	 83.985	  1.004	  1.227	  0.002
13	  0.840	 90.652	  1.004	  1.227	  0.002
14	  0.840	 97.318	  1.004	  1.227	  0.002
0	  0.960	  4.135	  1.004	  1.286	  0.001
1	  0.960	 10.802	  1.004	  1.286	  0.001
2	  0.960	 17.469	  1.004	  1.286	  0.001
3	  0.960	 24.135	  1.004	  1.286	  0.001
4	  0.960	 30.802	  1.004	  1.286	  0.001
5	  0.960	 37.469	  1.004	  1.286	  0.001
6	  0.960	 44.135	  1.004	  1.286	  0.001
7	  0.960	 50.802	  1.004	  1.286	  0.001
8	  0.960	 57.469	  1.004	  1.286	  0.001
9	  0.960	 64.135	  1.004	  1.286	  0.001
10	  0.960	 70.802	  1.004	  1.286	  0.001
11	  0.960	 77.469	  1.004	  1.286	  0.001
12	  0.960	 84.135	  1.004	  1.286	  0.001
13	  0.960	 90.802	  1.004	  1.286	  0.001
14	  0.960	 97.469	  1.004	  1.286	  0.001
0	  1.080	  4.292	  1.004	  1.332	  0.001
1	  1.080	 10.959	  1.004	  1.332	  0.001
2	  1.080	 17.626	  1.004	  1.332	  0.001
3	  1.080	 24.292	  1.004	  1.332	  0.001
4	  1.080	 30.959	  1.004	  1.332	  0.001
5	  1.080	 37.626	  1.004	  1.332	  0.001
6	  1.080	 44.292	  1.004	  1.332	  0.001
7	  1.080	 50.959	  1.004	  1.332	  0.001
8	  1.080	 57.626	  1.004	  1.332	  0.001
9	  1.080	 64.292	  1.004	  1.332	  0.001
10	  1.080	 70.959	  1.004	  1.332	  0.001
11	  1.080	 77.626	  1.004	  1.332	  0.001
12	  1.080	 84.292	  1.004	  1.332	  0.001
13	  1.080	 90.959	  1.004	  1.332	  0.001
14	  1.080	 97.626	  1.004	  1.332	  0.001
0	  1.200	  4.454	  1.005	  1.368	  0.001
1	  1.200	 11.121	  1.005	  1.368	  0.001
2	  1.200	 17.788	  1.005	  1.368	  0.001
3	  1.200	 24.454	  1.005	  1.368	  0.001
4	  1.200	 31.121	  1.005	  1.368	  0.001
5	  1.200	 37.788	  1.005	  1.368	  0.001
6	  1.200	 44.454	  1.005	  1.368	  0.001
7	  1.200	 51.121	  1.005	  1.368	  0.001
8	  1.200	 57.788	  1.005	  1.368	  0.001
9	  1.200	 64.454	  1.005	  1.368	  0.001
10	  1.200	 71.121	  1.005	  1.368	  0.001
11	  1.200	 77.788	  1.005	  1.368	  0.001
12	  1.200	 84.454	  1.005	  1.368	  0.001
13	  1.200	 91.121	  1.005	  1.368	  0.001
14	  1.200	 97.788	  1.005	  1.368	  0.001
0	  1.320	  4.620	  1.005	  1.396	  0.001
1	  1.320	 11.287	  1.005	  1.396	  0.001
2	  1.320	 17.953	  1.005	  1.396	  0.001
3	  1.320	 24.620	  1.005	  1.396	  0.001
4	  1.320	 31.287	  1.005	  1.396	  0.001
5	  1.320	 37.953	  1.005	  1.396	  0.001
6	  1.320	 44.620	  1.005	  1.396	  0.001
7	  1.320	 51.287	  1.005	  1.396	  0.001
8	  1.320	 57.953	  1.005	  1.396	  0.001
9	  1.320	 64.620	  1.005	  1.396	  0.001
10	  1.320	 71.287	  1.005	  1.396	  0.001
11	  1.320	 77.953	  1.005	  1.396	  0.001
12	  1.320	 84.620	  1.005	  1.396	  0.001
13	  1.320	 91.287	  1.005	  1.396	  0.001
14	  1.320	 97.953	  1.005	  1.396	  0.001
0	  1.440	  4.789	  1.005	  1.419	  0.001
1	  1.440	 11.456	  1.005	  1.419	  0.001
2	  1.440	 18.122	  1.005	  1.419	  0.001
3	  1.440	 24.789	  1.005	  1.419	  0.001
4	  1.440	 31.456	  1.005	  1.419	  0.001
5	  1.440	 38.122	  1.005	  1.419	  0.001
