Number of Agents,Test Agent Velocity,Test Agent Density
2,1.4573991031390134,0.317935037607567
3,1.132897603485839,0.3601347396121468
4,0.6169909824394875,0.15600916898518158
5,1.113967437874893,0.589379771748652
6,0.9506398537477148,0.6311668823957898
7,1.154016866400355,0.8524468807448364
8,1.0168165819319515,0.884002773800302
9,0.6713142266976503,0.5615068170392664
10,1.0437575270975512,1.120779981739169
11,0.951335528723015,1.1578925765054884
12,0.8655126498002663,1.1799074181847156
13,0.9870918754745635,1.2710512420699522
14,1.0058027079303675,1.4942046954517565
15,0.9119607155384075,1.529883593743021
16,0.9756097560975608,1.7160254561180215
17,0.7905138339920948,1.340645804540125
18,0.9059233449477352,1.8286095917939023
19,0.617283950617284,0.7413168484071055
20,0.6678653994348831,0.8215207419757712
21,0.7051803634391104,1.0155307959937894
22,0.6809848088004191,0.912767907274476
23,0.6221584111031347,0.9097450583597961
24,0.5806163465832961,0.9065109231583828
25,0.5450733752620545,0.9031143948946678
26,0.5102040816326531,0.9000224363509413
