Number of Agents,Test Agent Velocity,Test Agent Density
30,1.1168384879725086,1.7794688234991616
35,1.2333965844402277,2.2465813789396822
40,1.174345076784101,2.468887962505897
45,1.0919781604367913,2.630008586405838
50,1.1791383219954648,3.097756506995004
55,inf,nan
60,inf,nan
65,inf,nan
70,inf,nan
75,inf,nan
80,inf,nan
85,inf,nan
90,inf,nan
95,inf,nan
100,inf,nan
105,inf,nan
110,inf,nan
115,inf,nan
120,inf,nan
125,inf,nan
130,inf,nan
135,inf,nan
140,inf,nan
